handle,title,subtitle,description,category_handle,dietary_flags,vat_rate,status
gems-indian-import-6-pack,Gems Indian Import 6-Pack,,Colourful chocolate buttons in a tube. Childhood nostalgia in every bite.,sweets_confectionery,vegetarian,0,published
perk-indian-import-6-pack,Perk Indian Import 6-Pack,,Crispy wafer coated in smooth Cadbury chocolate. Indian import crispier than UK version.,sweets_confectionery,vegetarian,0,published
hakka-noodles,Hakka Noodles,,Authentic Indo-Chinese noodles ready in 3 minutes. A weekly trigger for students.,vermicelli_noodles,vegetarian,0,published
schezwan-noodles,Schezwan Noodles,,Schezwan-flavoured instant noodles from the Indo-Chinese kitchen.,vermicelli_noodles,vegetarian,0,published
schezwan-sauce,Schezwan Sauce,,The iconic spicy Indo-Chinese sauce. A cross-demographic sensation â€” used in everything from noodles to sandwiches.,cooking_pastes_sauces,vegetarian;vegan,0,published
rozana-basmati,Rozana Basmati,,Daawat Rozana Basmati - everyday basmati rice that delivers consistent quality and aroma for daily Indian meals.,basmati_rice,vegetarian,0,published
chyawanprash,Chyawanprash,,Traditional Ayurvedic herbal jam made with amla and 40+ herbs for immunity and vitality.,wellness_ayurveda,vegetarian;vegan;gluten-free,0,published
chana-dal,Chana Dal,,Split Bengal gram â€” essential for dal; vada; and sweets like puran poli.,lentils_dals,vegetarian;vegan;gluten-free,0,published
coriander-powder,Coriander Powder,,Premium ground coriander â€” a must-have for every Indian spice rack.,powdered_spices,vegetarian;vegan;gluten-free,0,published
ginger-garlic-paste,Ginger-Garlic Paste,,1kg value tub of the essential curry base. Anchor purchase for frequent cooks.,cooking_pastes_sauces,vegetarian;vegan;gluten-free,0,published
kabuli-chana,Kabuli Chana,,Large white chickpeas for chana masala and salads. A Punjabi kitchen essential.,beans_peas_pulses,vegetarian;vegan;gluten-free,0,published
kashmiri-chilli-powder,Kashmiri Chilli Powder,,Mild and vibrant red Kashmiri chilli powder. Adds colour without extreme heat.,powdered_spices,vegetarian;vegan;gluten-free,0,published
moong-dal-washed,Moong Dal Washed,,Yellow split moong dal â€” quick-cooking; perfect for kitcheri and light dals.,lentils_dals,vegetarian;vegan;gluten-free,0,published
red-split-lentils,Red Split Lentils,,Red split lentils from East End. Quick-cooking pantry essential.,lentils_dals,vegetarian;vegan;gluten-free,0,published
sooji-fine,Sooji Fine,,Fine semolina for upma; halwa; and traditional sweets. A pantry essential.,semolina_rava,vegetarian,0,published
toor-dal-oily,Toor Dal Oily,,Toor Dal Oily,lentils_dals,vegetarian;vegan;gluten-free,0,published
urad-dal-black-whole,Urad Dal Black Whole,,Black whole urad â€” essential for dal makhani. Rich; creamy; protein-packed.,beans_peas_pulses,vegetarian;vegan;gluten-free,0,published
atta-chakki-fresh,Atta Chakki Fresh,,Elephant Atta Chakki Fresh - stone-ground whole wheat chapati flour milled fresh for soft and fluffy rotis.,atta_flour,vegetarian,0,published
garam-masala,Garam Masala,,Our garam masala powder is a delicious blend of fragrant spices that brings depth of flavour and authenticity to your dishes. Warming and complex; it’s an aromatic addition to any curry.,masalas_spice_blends,vegetarian;vegan;gluten-free,0,published
pav-bhaji-masala,Pav Bhaji Masala,,Mumbai street-food spice blend for spicy vegetable mash. Gujarati/Maharashtrian favourite.,masalas_spice_blends,vegetarian,0,published
sambhar-masala,Sambhar Masala,,Everest's take on the classic South Indian sambhar spice blend.,masalas_spice_blends,vegetarian,0,published
tea-masala,Tea Masala,,Aromatic spice mix for masala chai â€” cardamom; ginger; cloves. Repurchased weekly.,masalas_spice_blends,vegetarian,0,published
super-basmati,Super Basmati,,Falak Super Basmati - premium extra-long grain Pakistani basmati; highly sought after by the Pakistani community.,basmati_rice,vegetarian,0,published
mango-drink,Mango Drink,,Fresh and refreshing mango drink in the iconic green tetra pack. A nostalgic taste of India.,soft_drinks_juices,vegetarian;vegan;gluten-free,0,published
masala-chai-tea-bags-100-box,Masala Chai Tea Bags 100 Box,,Convenient tea bags infused with traditional Indian spices for instant masala chai.,tea_coffee,vegetarian;vegan;gluten-free,0,published
mango,Mango,,Instant glucose energy drink powder with refreshing mango flavour. Popular for summer hydration.,wellness_ayurveda,vegetarian;vegan;gluten-free,0,published
digestive-candy-jar-100-tablets,Digestive Candy Jar 100 Tablets,,Tangy digestive tablets â€” a post-meal ritual across Indian households. Near-pharmacy item.,wellness_ayurveda,vegetarian;vegan;gluten-free,0,published
aloo-bhujia,Aloo Bhujia,,Haldiram's Aloo Bhujia 400g - Premium quality product.,savouries_papadoms,vegetarian,0,published
moong-dal,Moong Dal,,Haldiram's Moong Dal 400g - Premium quality product.,savouries_papadoms,vegetarian,0,published
rasgulla-tin,Rasgulla Tin,,Haldiram's Rasgulla Tin - spongy cottage cheese balls in light sugar syrup; a beloved Bengali sweet.,sweets_confectionery,vegetarian,0,published
mathri,Mathri,,Flaky; savoury whole wheat flour crackers from Haldiram's. Perfect with chai or pickle.,savouries_papadoms,vegetarian,0,published
rooh-afza,Rooh Afza,,The legendary rose herb and fruit cooling syrup. Mix with water or milk. Ramadan essential with 4x normal demand.,soft_drinks_juices,vegetarian;vegan;gluten-free,0,published
original,Original,,Malted barley and wheat health drink with essential nutrients. The trusted family nourishment brand.,health_malted_drinks,vegetarian,0,published
sesame-gingelly-oil,Sesame / Gingelly Oil,,Pure gingelly oil â€” a Tamil community essential. Unique nutty flavour for South Indian cooking.,cooking_oils,vegetarian;vegan,0,published
fruit-biscuits,Fruit Biscuits,,Premium Hyderabadi fruit biscuits with tutti frutti. A Diwali gifting essential.,biscuits_crackers,vegetarian,0,published
osmania-biscuits,Osmania Biscuits,,Hyderabadi Osmania biscuits â€” buttery; lightly sweetened tea biscuits.,biscuits_crackers,vegetarian,0,published
extra-long-basmati,Extra Long Basmati,,Kohinoor Extra Long Basmati - aged Indian basmati with extra-long grains that stay separate and fluffy when cooked.,basmati_rice,vegetarian,0,published
premium-basmati,Premium Basmati,,Lal Qilla Premium Basmati - premium Pakistani basmati rice; prized for its extra-long grains and distinctive fragrance.,basmati_rice,vegetarian,0,published
gajar-ka-halwa-mix,Gajar Ka Halwa Mix,,Carrot pudding dessert mix â€” a winter favourite across South Asian households.,dessert_mixes,vegetarian,0,published
gulab-jamun-mix,Gulab Jamun Mix,,Complete dessert mix for soft milk-solid dumplings in rose syrup. Ramadan essential.,dessert_mixes,vegetarian,0,published
kheer-mix,Kheer Mix,,Creamy rice pudding mix â€” a beloved South Asian dessert for celebrations.,dessert_mixes,vegetarian,0,published
kulfi-mix,Kulfi Mix,,Traditional Indian ice cream dessert mix â€” creamy; aromatic; freeze at home.,dessert_mixes,vegetarian,0,published
rasmalai-mix,Rasmalai Mix,,Complete mix for soft cottage-cheese patties in sweetened milk. Festive favourite.,dessert_mixes,vegetarian,0,published
zarda-sweet-rice-mix,Zarda Sweet Rice Mix,,Sweet saffron rice dessert mix â€” a festive favourite for Eid and weddings.,dessert_mixes,vegetarian,0,published
pure,Pure,,Premium South Indian filter coffee. Bold; aromatic; and deeply satisfying.,tea_coffee,vegetarian;vegan;gluten-free,0,published
asafoetida-hing,Asafoetida Hing,,Pure compounded asafoetida. The essential tempering ingredient for dals and sambars. Not stocked by Tesco.,powdered_spices,vegetarian;gluten-free,0,published
moong-dal-papad,Moong Dal Papad,,Lijjat Moong Dal Papad - lightly spiced green gram papadums; hand-rolled and sun-dried by the Lijjat women's cooperative.,savouries_papadoms,vegetarian,0,published
urad-papad-extra-thin,Urad Papad Extra Thin,,Lijjat Urad Papad Extra Thin - hand-rolled sun-dried black gram papadums; paper-thin and perfect for roasting or frying.,savouries_papadoms,vegetarian,0,published
urad-special-papad,Urad Special Papad,,Lijjat Urad Special Papad - premium hand-rolled black gram papadums with added spices for extra flavour.,savouries_papadoms,vegetarian,0,published
2-minute-noodles-masala,2-Minute Noodles Masala,,Maggi 2-Minute Noodles Masala - the iconic instant noodles with signature masala flavour. 4-pack multipack.,savouries_papadoms,vegetarian,0,published
2-minute-noodles-masala-8-pack,2-Minute Noodles Masala 8-Pack,,Maggi 2-Minute Noodles Masala 8-Pack - Premium quality product.,savouries_papadoms,vegetarian,0,published
hot-sweet-sauce,Hot & Sweet Sauce,,Maggi Hot & Sweet Sauce - the legendary sweet and spicy tomato chilli sauce; an essential Indian table condiment.,cooking_pastes_sauces,vegetarian,0,published
2-minute-noodles-masala-4-pack,2-Minute Noodles Masala 4-Pack,,The iconic instant noodles with signature masala flavour. A universal weekly trigger.,vermicelli_noodles,vegetarian,0,published
2-minute-noodles-masala-8-pack-vermicelli-noodles,2-Minute Noodles Masala 8-Pack,,Bulk 8-pack value bundle of the iconic instant noodles.,vermicelli_noodles,vegetarian,0,published
sambar-masala,Sambar Masala,,Authentic South Indian spice blend for tangy lentil and vegetable sambar.,masalas_spice_blends,vegetarian,0,published
plain-dosa-mix,Plain Dosa Mix,,Traditional dosa batter mix â€” just add water. Crispy golden dosas in minutes.,instant_breakfast_mixes,vegetarian;vegan,0,published
idli-mix,Idli Mix,,Traditional idli batter mix â€” just add water. A weekly trigger for Tamil community.,instant_breakfast_mixes,vegetarian;vegan,0,published
khaman-dhokla-mix,Khaman Dhokla Mix,,Instant Gujarati steamed snack mix â€” fluffy; tangy; ready in minutes.,instant_breakfast_mixes,vegetarian,0,published
rasmalai-tin,Rasmalai Tin,,Cottage cheese patties in sweetened milk. A beloved Bengali sweet; ambient storage.,sweets_confectionery,vegetarian,0,published
rava-dosa-mix,Rava Dosa Mix,,Instant semolina dosa mix for crispy; lacy dosas. No fermentation needed.,instant_breakfast_mixes,vegetarian,0,published
rava-idli-mix,Rava Idli Mix,,Semolina idli mix â€” no grinding needed. Quick and convenient South Indian breakfast.,instant_breakfast_mixes,vegetarian,0,published
roasted-vermicelli,Roasted Vermicelli,,Pre-roasted vermicelli for Sheer Khurma and payasam. Ramadan and Eid trigger item.,vermicelli_noodles,vegetarian,0,published
upma-mix,Upma Mix,,Semolina upma mix â€” a savoury South Indian breakfast ready in minutes.,instant_breakfast_mixes,vegetarian,0,published
vada-mix,Vada Mix,,Crispy urad dal vada mix â€” South Indian fritter classic. Just add water and fry.,instant_breakfast_mixes,vegetarian;vegan,0,published
spiced-tea-masala-blend-160s,Spiced Tea - Masala Blend 160s,,Refreshing drink from Natco Foods. Authentic Indian taste.,tea_coffee,vegetarian,0,published
lemon-juice-1-ltr,Lemon Juice 1 Ltr,,Food-grade colouring and flavouring essence from Natco Foods. Ideal for baking and desserts.,baking_essences,vegetarian,0,published
lemon-juice,Lemon Juice,,Food-grade colouring and flavouring essence from Natco Foods. Ideal for baking and desserts.,baking_essences,vegetarian,0,published
lemon-juice-with-essential-oil,Lemon Juice with Essential Oil,,Food-grade colouring and flavouring essence from Natco Foods. Ideal for baking and desserts.,baking_essences,vegetarian,0,published
pure-mustard-oil-1ltr,Pure Mustard Oil 1Ltr,,Pure cooking oil from Natco Foods. Essential for Indian cooking and frying.,cooking_oils,vegetarian,0,published
pure-mustard-oil,Pure Mustard Oil,,Pure cooking oil from Natco Foods. Essential for Indian cooking and frying.,cooking_oils,vegetarian,0,published
rose-water,Rose Water,,Food-grade colouring and flavouring essence from Natco Foods. Ideal for baking and desserts.,baking_essences,vegetarian,0,published
kevda-water,Kevda Water,,Food-grade colouring and flavouring essence from Natco Foods. Ideal for baking and desserts.,baking_essences,vegetarian,0,published
coconut-flavouring-essence,Coconut Flavouring Essence,,Food-grade colouring and flavouring essence from Natco Foods. Ideal for baking and desserts.,baking_essences,vegetarian,0,published
pineapple-flavouring-essence,Pineapple Flavouring Essence,,Food-grade colouring and flavouring essence from Natco Foods. Ideal for baking and desserts.,baking_essences,vegetarian,0,published
strawberry-flavouring-essence,Strawberry Flavouring Essence,,Food-grade colouring and flavouring essence from Natco Foods. Ideal for baking and desserts.,baking_essences,vegetarian,0,published
rose-flavouring-essence,Rose Flavouring Essence,,Food-grade colouring and flavouring essence from Natco Foods. Ideal for baking and desserts.,baking_essences,vegetarian,0,published
almond-flavouring-essence,Almond Flavouring Essence,,Food-grade colouring and flavouring essence from Natco Foods. Ideal for baking and desserts.,baking_essences,vegetarian,0,published
vanilla-flavouring-essence,Vanilla Flavouring Essence,,Food-grade colouring and flavouring essence from Natco Foods. Ideal for baking and desserts.,baking_essences,vegetarian,0,published
green-food-colouring-liquid,Green Food Colouring - Liquid,,Food-grade colouring and flavouring essence from Natco Foods. Ideal for baking and desserts.,baking_essences,vegetarian,0,published
red-food-colouring-liquid,Red Food Colouring - Liquid,,Food-grade colouring and flavouring essence from Natco Foods. Ideal for baking and desserts.,baking_essences,vegetarian,0,published
orange-food-colouring-liquid,Orange Food Colouring - Liquid,,Food-grade colouring and flavouring essence from Natco Foods. Ideal for baking and desserts.,baking_essences,vegetarian,0,published
green-food-colouring-powder,Green Food Colouring - Powder,,Food-grade colouring and flavouring essence from Natco Foods. Ideal for baking and desserts.,baking_essences,vegetarian,0,published
red-food-colouring-powder,Red Food Colouring - Powder,,Food-grade colouring and flavouring essence from Natco Foods. Ideal for baking and desserts.,baking_essences,vegetarian,0,published
orange-food-colouring-powder,Orange Food Colouring - Powder,,Food-grade colouring and flavouring essence from Natco Foods. Ideal for baking and desserts.,baking_essences,vegetarian,0,published
yellow-food-colouring-powder,Yellow Food Colouring - Powder,,Food-grade colouring and flavouring essence from Natco Foods. Ideal for baking and desserts.,baking_essences,vegetarian,0,published
tandoori-masala-jar,Tandoori Masala Jar,,Premium whole and ground spice from Natco Foods. Essential for authentic Indian cooking.,masalas_spice_blends,vegetarian;vegan;gluten-free,0,published
garam-masala-jar,Garam Masala Jar,,Premium whole and ground spice from Natco Foods. Essential for authentic Indian cooking.,masalas_spice_blends,vegetarian;vegan;gluten-free,0,published
coriander-ground-jar,Coriander Ground Jar,,Premium whole and ground spice from Natco Foods. Essential for authentic Indian cooking.,powdered_spices,vegetarian;vegan;gluten-free,0,published
cloves-jar,Cloves Jar,,Premium whole and ground spice from Natco Foods. Essential for authentic Indian cooking.,whole_spices_seeds,vegetarian;vegan;gluten-free,0,published
cinnamon-ground-jar,Cinnamon Ground Jar,,Premium whole and ground spice from Natco Foods. Essential for authentic Indian cooking.,powdered_spices,vegetarian;vegan;gluten-free,0,published
cassia-dalchini-jar,Cassia (Dalchini) Jar,,Premium whole and ground spice from Natco Foods. Essential for authentic Indian cooking.,whole_spices_seeds,vegetarian;vegan;gluten-free,0,published
chilli-powder-hot-jar,Chilli Powder Hot Jar,,Premium whole and ground spice from Natco Foods. Essential for authentic Indian cooking.,powdered_spices,vegetarian;vegan;gluten-free,0,published
chilli-crushed-jar,Chilli Crushed Jar,,Premium whole and ground spice from Natco Foods. Essential for authentic Indian cooking.,powdered_spices,vegetarian;vegan;gluten-free,0,published
cardamom-green-jar,Cardamom Green Jar,,Premium whole and ground spice from Natco Foods. Essential for authentic Indian cooking.,whole_spices_seeds,vegetarian;vegan;gluten-free,0,published
bay-leaves-jar,Bay Leaves Jar,,Premium whole and ground spice from Natco Foods. Essential for authentic Indian cooking.,herbs_leaves,vegetarian;vegan;gluten-free,0,published
asafoetida-hing-jar,Asafoetida (Hing) Jar,,Premium whole and ground spice from Natco Foods. Essential for authentic Indian cooking.,powdered_spices,vegetarian;vegan;gluten-free,0,published
aniseed-star-jar,Aniseed Star Jar,,Premium whole and ground spice from Natco Foods. Essential for authentic Indian cooking.,whole_spices_seeds,vegetarian;vegan;gluten-free,0,published
amchoor-powder-jar,Amchoor Powder Jar,,Premium whole and ground spice from Natco Foods. Essential for authentic Indian cooking.,powdered_spices,vegetarian;vegan;gluten-free,0,published
ajwan-seeds-jar,Ajwan Seeds Jar,,Premium whole and ground spice from Natco Foods. Essential for authentic Indian cooking.,whole_spices_seeds,vegetarian;vegan;gluten-free,0,published
tandoori-masala,Tandoori Masala,,Expertly blended masala mix from Natco Foods. Perfect balance of spices for traditional dishes.,masalas_spice_blends,vegetarian;vegan;gluten-free,0,published
mixed-masala-whole,Mixed Masala Whole,,Expertly blended masala mix from Natco Foods. Perfect balance of spices for traditional dishes.,masalas_spice_blends,vegetarian;vegan;gluten-free,0,published
kasuri-methi-leaves,Kasuri Methi Leaves,,Premium whole and ground spice from Natco Foods. Essential for authentic Indian cooking.,herbs_leaves,vegetarian;vegan;gluten-free,0,published
vermice-t-apos-dini-fedelini,Vermice T&apos;Dini-Fedelini,,Fine couscous and wheat products from Natco Foods. Quick and versatile.,speciality_flours_grains,vegetarian,0,published
black-chia-seeds,Black Chia Seeds,,Nutritious seeds from Natco Foods. Great for healthy meals and baking.,whole_spices_seeds,vegetarian,0,published
peanut-gachak-peanut-brittle,Peanut Gachak (Peanut Brittle),,Roasted and seasoned nuts from Natco Foods. Delicious and satisfying snacks.,sweets_confectionery,vegetarian;vegan;gluten-free,0,published
sugar-candy,Sugar Candy,,Natural sugar from Natco Foods. Essential for Indian sweets and daily use.,sweeteners,vegetarian;vegan;gluten-free,0,published
soya-mince,Soya Mince,,Protein-rich soya from Natco Foods. Versatile meat alternative for curries and snacks.,pantry_tamarind_canned,vegetarian;vegan,0,published
soya-chunks,Soya Chunks,,Protein-rich soya from Natco Foods. Versatile meat alternative for curries and snacks.,pantry_tamarind_canned,vegetarian;vegan,0,published
sesame-seeds-hulled,Sesame Seeds Hulled,,Nutritious seeds from Natco Foods. Great for healthy meals and baking.,whole_spices_seeds,vegetarian,0,published
sesame-seeds-natural,Sesame Seeds Natural,,Nutritious seeds from Natco Foods. Great for healthy meals and baking.,whole_spices_seeds,vegetarian,0,published
sagoo-seeds-medium,Sagoo Seeds Medium,,Nutritious seeds from Natco Foods. Great for healthy meals and baking.,whole_spices_seeds,vegetarian,0,published
sunflower-seeds,Sunflower Seeds,,Nutritious seeds from Natco Foods. Great for healthy meals and baking.,whole_spices_seeds,vegetarian,0,published
powa-medium-flaked-rice,Powa Medium (Flaked Rice),,High-quality rice from Natco Foods. A pantry essential for everyday meals.,speciality_rice_poha,vegetarian;vegan;gluten-free,0,published
white-poppy-seeds,White Poppy Seeds,,Nutritious seeds from Natco Foods. Great for healthy meals and baking.,whole_spices_seeds,vegetarian,0,published
linseed-brown,Linseed Brown,,Nutritious seeds from Natco Foods. Great for healthy meals and baking.,whole_spices_seeds,vegetarian,0,published
pumpkin-seeds,Pumpkin Seeds,,Nutritious seeds from Natco Foods. Great for healthy meals and baking.,whole_spices_seeds,vegetarian,0,published
popcorn,Popcorn,,Make fresh; crunchy popcorn in just three minutes at home. This tasty snack is irresistible when you add your favourite sweet or savoury toppings. Our popcorn is the perfect partner for a cosy movie night.,savouries_papadoms,vegetarian,0,published
crispy-fried-onions,Crispy Fried Onions,,Crispy fried onions from Natco Foods. Ready to use for biryani and garnishing.,savouries_papadoms,vegetarian,0,published
jaggery,Jaggery,,Natural sugar from Natco Foods. Essential for Indian sweets and daily use.,sweeteners,vegetarian;vegan;gluten-free,0,published
daria-dal,Daria Dal,,Traditional Indian savoury snacks from Natco Foods. Perfect tea-time treats.,lentils_dals,vegetarian,0,published
phool-makhana-popped-lotus-seeds,Phool Makhana (Popped Lotus Seeds),,Nutritious seeds from Natco Foods. Great for healthy meals and baking.,pantry_tamarind_canned,vegetarian,0,published
daria-gotta-large,Daria Gotta (Large),,Traditional Indian savoury snacks from Natco Foods. Perfect tea-time treats.,nuts_seeds,vegetarian,0,published
daria-gotta-small,Daria Gotta (Small),,Traditional Indian savoury snacks from Natco Foods. Perfect tea-time treats.,nuts_seeds,vegetarian,0,published
gram-roasted-salted,Gram Roasted Salted,,Traditional Indian savoury snacks from Natco Foods. Perfect tea-time treats.,nuts_seeds,vegetarian,0,published
gram-roasted-unsalted,Gram Roasted Unsalted,,Traditional Indian savoury snacks from Natco Foods. Perfect tea-time treats.,nuts_seeds,vegetarian,0,published
idli-rice,Idli Rice,,High-quality rice from Natco Foods. A pantry essential for everyday meals.,speciality_rice_poha,vegetarian;vegan;gluten-free,0,published
ponni-rice,Ponni Rice,,High-quality rice from Natco Foods. A pantry essential for everyday meals.,everyday_rice,vegetarian;vegan;gluten-free,0,published
sona-masuri-rice,Sona Masuri Rice,,High-quality rice from Natco Foods. A pantry essential for everyday meals.,sona_masuri_rice,vegetarian;vegan;gluten-free,0,published
easycook-parboiled-rice,Easycook Parboiled Rice,,High-quality rice from Natco Foods. A pantry essential for everyday meals.,everyday_rice,vegetarian;vegan;gluten-free,0,published
long-grain-white-rice,Long Grain White Rice,,High-quality rice from Natco Foods. A pantry essential for everyday meals.,everyday_rice,vegetarian;vegan;gluten-free,0,published
basmati-rice-kernel,Basmati Rice Kernel,,High-quality rice from Natco Foods. A pantry essential for everyday meals.,basmati_rice,vegetarian;vegan;gluten-free,0,published
basmati-rice-india,Basmati Rice India,,High-quality rice from Natco Foods. A pantry essential for everyday meals.,basmati_rice,vegetarian;vegan;gluten-free,0,published
basmati-rice-india-bag,Basmati Rice India - Bag,,High-quality rice from Natco Foods. A pantry essential for everyday meals.,basmati_rice,vegetarian;vegan;gluten-free,0,published
pappadoms-madras-papa-brand,Pappadoms Madras (Papa Brand),,Crispy Indian pappadoms from Natco Foods. Quick to prepare; perfect with chutneys.,savouries_papadoms,vegetarian,0,published
pappadoms-madras-coin-size,Pappadoms Madras (Coin size),,Crispy Indian pappadoms from Natco Foods. Quick to prepare; perfect with chutneys.,savouries_papadoms,vegetarian,0,published
pappadoms-punjabi-microwavable,Pappadoms Punjabi (Microwavable),,Crispy Indian pappadoms from Natco Foods. Quick to prepare; perfect with chutneys.,savouries_papadoms,vegetarian,0,published
pappadoms-plain-microwavable,Pappadoms Plain (Microwavable),,Crispy Indian pappadoms from Natco Foods. Quick to prepare; perfect with chutneys.,savouries_papadoms,vegetarian,0,published
pappadoms-jeera-microwavable,Pappadoms Jeera (Microwavable),,Crispy Indian pappadoms from Natco Foods. Quick to prepare; perfect with chutneys.,savouries_papadoms,vegetarian,0,published
pappadoms-black-pepper,Pappadoms Black Pepper,,Crispy Indian pappadoms from Natco Foods. Quick to prepare; perfect with chutneys.,savouries_papadoms,vegetarian,0,published
luxury-fruit-amp-nuts-mix,Luxury Fruit &amp; Nuts Mix,,Premium nuts from Natco Foods. Perfect for snacking; cooking; and baking.,nuts_seeds,vegetarian;vegan;gluten-free,0,published
luxury-fruit-amp-nut-mix,Luxury Fruit &amp; Nut Mix,,Premium nuts from Natco Foods. Perfect for snacking; cooking; and baking.,nuts_seeds,vegetarian;vegan;gluten-free,0,published
pistachio-kernels,Pistachio Kernels,,Our products are manufactured in a site that handles gluten; soya;./images/natco_pistachio-kernels-1kg.jpg; nuts; peanuts; sesame; mustard; celery and sulphites.,nuts_seeds,vegetarian;vegan;gluten-free,0,published
roasted-amp-salted-pistachio-nuts,Roasted &amp; Salted Pistachio Nuts,,Roasted and seasoned nuts from Natco Foods. Delicious and satisfying snacks.,nuts_seeds,vegetarian;vegan;gluten-free,0,published
roasted-monkey-nuts,Roasted Monkey Nuts,,Premium nuts from Natco Foods. Perfect for snacking; cooking; and baking.,nuts_seeds,vegetarian;vegan;gluten-free,0,published
peanuts-red,Peanuts Red,,Premium nuts from Natco Foods. Perfect for snacking; cooking; and baking.,nuts_seeds,vegetarian;vegan;gluten-free,0,published
coconut-halves,Coconut Halves,,Natural coconut products from Natco Foods. Versatile for cooking and baking.,coconut_products,vegetarian,0,published
coconut-flakes,Coconut Flakes,,Natural coconut products from Natco Foods. Versatile for cooking and baking.,coconut_products,vegetarian,0,published
