variant_handle,price_gbp,effective_date
4567663607880,2.75,2026-06-11
4567655350344,0.45,2026-06-11
4567673208904,2.05,2026-06-11
4567673667656,2.05,2026-06-11
4567673602120,2.05,2026-06-11
4567673405512,2.05,2026-06-11
4567673274440,2.00,2026-06-11
4567673241672,2.05,2026-06-11
4567673143368,1.95,2026-06-11
4567673045064,2.05,2026-06-11
4567673012296,2.10,2026-06-11
4567672979528,1.80,2026-06-11
4567672946760,1.80,2026-06-11
4567672913992,1.80,2026-06-11
4567672881224,2.10,2026-06-11
4567672815688,2.25,2026-06-11
4567672651848,2.25,2026-06-11
4567669604424,2.40,2026-06-11
4567669538888,0.90,2026-06-11
4567669506120,2.30,2026-06-11
4567669440584,0.80,2026-06-11
4567669932104,6.55,2026-06-11
4567669899336,0.85,2026-06-11
4567660331080,2.70,2026-06-11
6666608541768,4.85,2026-06-11
6666603167816,3.00,2026-06-11
6666591010888,2.15,2026-06-11
6666589536328,2.25,2026-06-11
6666589306952,4.30,2026-06-11
6666589044808,6.70,2026-06-11
6666587701320,2.65,2026-06-11
4583223296072,9.75,2026-06-11
4583223263304,20.50,2026-06-11
4567664558152,3.35,2026-06-11
4567669866568,2.70,2026-06-11
4567669833800,2.70,2026-06-11
4567669342280,3.20,2026-06-11
4567669309512,4.50,2026-06-11
4567669211208,2.50,2026-06-11
4567669145672,1.40,2026-06-11
4567669047368,3.90,2026-06-11
4567668981832,3.10,2026-06-11
4567668949064,1.15,2026-06-11
4567668850760,1.15,2026-06-11
4567668817992,2.90,2026-06-11
4567668785224,1.20,2026-06-11
4567668719688,2.90,2026-06-11
4567668686920,1.20,2026-06-11
4567668621384,3.95,2026-06-11
4567668555848,2.40,2026-06-11
4567668326472,8.25,2026-06-11
4567668293704,3.90,2026-06-11
4567667769416,2.70,2026-06-11
4567656104008,0.40,2026-06-11
4567656071240,0.50,2026-06-11
4567656005704,0.40,2026-06-11
4567655972936,0.45,2026-06-11
4567655874632,0.45,2026-06-11
4567655841864,0.45,2026-06-11
4567655743560,0.45,2026-06-11
4567655678024,0.45,2026-06-11
4567655612488,0.45,2026-06-11
4567655514184,0.45,2026-06-11
4567655448648,0.45,2026-06-11
4567655383112,0.45,2026-06-11
4567655284808,1.80,2026-06-11
4567655219272,1.80,2026-06-11
4567672127560,5.45,2026-06-11
4567672029256,8.60,2026-06-11
4567671898184,3.35,2026-06-11
4567671865416,4.25,2026-06-11
4641506558024,6.00,2026-06-11
4641504952392,2.40,2026-06-11
4567667507272,1.50,2026-06-11
4567667474504,9.25,2026-06-11
4567667441736,2.45,2026-06-11
4567667376200,4.49,2026-06-11
4567667343432,1.15,2026-06-11
4567667310664,3.85,2026-06-11
4567667277896,3.15,2026-06-11
4567667212360,3.20,2026-06-11
4567667114056,6.15,2026-06-11
4567667081288,2.70,2026-06-11
4567667015752,4.40,2026-06-11
4567666982984,6.45,2026-06-11
4567666950216,1.75,2026-06-11
4567666917448,3.20,2026-06-11
4567661445192,1.55,2026-06-11
4567661412424,1.55,2026-06-11
4567661379656,2.00,2026-06-11
4567661314120,7.25,2026-06-11
4567661248584,2.05,2026-06-11
4641502855240,2.55,2026-06-11
4567664656456,10.85,2026-06-11
4567664885832,3.45,2026-06-11
4567664689224,4.10,2026-06-11
4567665115208,12.20,2026-06-11
4567665049672,4.95,2026-06-11
4567665016904,4.85,2026-06-11
4567664984136,13.30,2026-06-11
4567664951368,4.10,2026-06-11
4567664918600,9.40,2026-06-11
4567664820296,4.40,2026-06-11
4567664787528,10.30,2026-06-11
4567664754760,3.55,2026-06-11
4567664721992,13.15,2026-06-11
4567664590920,6.70,2026-06-11
4567663575112,4.50,2026-06-11
4567663476808,1.80,2026-06-11
4567662362696,2.55,2026-06-11
4567663214664,36.60,2026-06-11
4567663149128,9.90,2026-06-11
4567663116360,3.95,2026-06-11
4567662952520,2.45,2026-06-11
4567662919752,7.05,2026-06-11
4567662067784,8.99,2026-06-11
4567661871176,13.95,2026-06-11
4567661838408,8.15,2026-06-11
4567661772872,8.40,2026-06-11
4567661674568,11.05,2026-06-11
4567661543496,11.40,2026-06-11
4567661477960,10.50,2026-06-11
4567660757064,3.20,2026-06-11
4567660953672,2.20,2026-06-11
4567660920904,3.05,2026-06-11
4567660888136,1.35,2026-06-11
4567660855368,3.70,2026-06-11
4567660822600,1.35,2026-06-11
4567660724296,2.95,2026-06-11
4567660691528,1.20,2026-06-11
4567660658760,3.25,2026-06-11
4567660593224,1.55,2026-06-11
4567660560456,5.70,2026-06-11
4567660134472,2.30,2026-06-11
4567665573960,5.00,2026-06-11
4567665541192,1.35,2026-06-11
4567660462152,2.25,2026-06-11
4567660396616,1.85,2026-06-11
4567671996488,1.75,2026-06-11
4567670980680,8.25,2026-06-11
4567666524232,3.85,2026-06-11
4567668260936,1.05,2026-06-11
4567668195400,1.25,2026-06-11
4567668162632,1.00,2026-06-11
4567668097096,1.15,2026-06-11
4567668064328,1.20,2026-06-11
4567667966024,1.30,2026-06-11
4567667933256,1.20,2026-06-11
4567667867720,1.15,2026-06-11
4567657578568,1.30,2026-06-11
4567657545800,1.60,2026-06-11
4567657513032,1.65,2026-06-11
4567657447496,1.90,2026-06-11
4567657381960,1.50,2026-06-11
4567657316424,4.10,2026-06-11
4567657283656,1.75,2026-06-11
4567657250888,1.45,2026-06-11
4567657185352,1.25,2026-06-11
4567657119816,1.80,2026-06-11
4567657087048,1.50,2026-06-11
4567657054280,1.90,2026-06-11
4567657021512,1.10,2026-06-11
4567656988744,1.15,2026-06-11
4583224016968,0.70,2026-06-11
4583223984200,2.10,2026-06-11
4567665508424,2.10,2026-06-11
4567665475656,1.25,2026-06-11
4567665442888,1.25,2026-06-11
4567665377352,1.30,2026-06-11
4567665344584,1.40,2026-06-11
4567665279048,1.30,2026-06-11
4567665213512,1.25,2026-06-11
4567665180744,1.20,2026-06-11
4567665147976,1.55,2026-06-11
4567658627144,4.90,2026-06-11
4567658135624,3.55,2026-06-11
4567657644104,3.45,2026-06-11
4567656759368,1.70,2026-06-11
4567656169544,1.60,2026-06-11
4567667834952,1.55,2026-06-11
4567660298312,2.30,2026-06-11
6617796804680,1.15,2026-06-11
4567671963720,1.70,2026-06-11
4567671930952,2.60,2026-06-11
6647388209224,2.75,2026-06-11
4567671406664,1.25,2026-06-11
4567671308360,2.40,2026-06-11
4567671210056,2.60,2026-06-11
4567671144520,0.65,2026-06-11
4567670915144,1.30,2026-06-11
4567670816840,1.45,2026-06-11
4567670620232,1.20,2026-06-11
4567670521928,1.55,2026-06-11
4567670095944,1.30,2026-06-11
4567668588616,1.85,2026-06-11
4567659905096,2.35,2026-06-11
brown-chick-peas,3.95,2026-06-11
brown-chick-peas1,1.30,2026-06-11
moth-beans,5.20,2026-06-11
moth-beans1,1.40,2026-06-11
mung-dal-yellow-2kg,5.90,2026-06-11
red-lentils-polished,2.40,2026-06-11
rosecoco-beans,5.60,2026-06-11
rosecoco-beans1,1.50,2026-06-11
toor-dal-oily1,6.15,2026-06-11
toor-dal-oily,3.15,2026-06-11
toor-dal-plain,5.40,2026-06-11
toor-dal-plain1,1.45,2026-06-11
uridbeans,5.85,2026-06-11
uridbeans1,3.15,2026-06-11
urid-dal-white,6.10,2026-06-11
urid-dal-white1,3.25,2026-06-11
uridsplit1,5.70,2026-06-11
uridsplit,1.50,2026-06-11
yellow-split-peas1,3.80,2026-06-11
yellow-split-peas,2.15,2026-06-11
tamarindslab,1.65,2026-06-11
takmuria,1.00,2026-06-11
ajwanseeds,1.95,2026-06-11
amchoor-powder,3.85,2026-06-11
chinese-5-spice,1.05,2026-06-11
cardamomgreen,11.45,2026-06-11
cardamomseeds,6.95,2026-06-11
cardamom-green-ground,2.55,2026-06-11
chilli-whole-stemless,3.95,2026-06-11
crushed-chilli,2.95,2026-06-11
chilli-powder-kashmiri1,1.00,2026-06-11
chilli-powder-extra-hot,3.00,2026-06-11
chilli-powder,5.75,2026-06-11
chilli-powder1,0.85,2026-06-11
cinnamon-sticks,2.65,2026-06-11
cloves,4.30,2026-06-11
cloves-ground,1.15,2026-06-11
coriander-seeds,1.65,2026-06-11
cumin-seeds-black,2.90,2026-06-11
cumin-seeds,3.49,2026-06-11
cumin-ground1,0.85,2026-06-11
curry-powder-hot,2.45,2026-06-11
curryleaves,5.75,2026-06-11
fennel-seeds,2.45,2026-06-11
garlic-powder,0.90,2026-06-11
garlic-flakes,1.00,2026-06-11
tamarindwet,2.75,2026-06-11
ginger-powder,0.85,2026-06-11
kalanamak,0.95,2026-06-11
nigella-seeds,2.45,2026-06-11
mace-ground,2.45,2026-06-11
nutmeg-ground,1.15,2026-06-11
methi-seeds,1.30,2026-06-11
mustard-seeds,1.15,2026-06-11
panchpuran-whole-spice,5.45,2026-06-11
chilli-whole-birdseye,3.90,2026-06-11
black-pepper-coarse,5.00,2026-06-11
black-pepper-coarse2,13.80,2026-06-11
black-pepper-whole,12.60,2026-06-11
chilli-powder-kashmiri,3.40,2026-06-11
black-pepper-whole1,4.45,2026-06-11
black-pepper-ground,5.80,2026-06-11
white-pepper-ground,2.10,2026-06-11
saffron,4.40,2026-06-11
turmeric-powder,2.99,2026-06-11
cassia,4.70,2026-06-11
coriander-ground,2.05,2026-06-11
cumin-ground,3.10,2026-06-11
curry-powder-hot1,0.70,2026-06-11
curry-powder,2.40,2026-06-11
cumin-seeds-jar,1.60,2026-06-11
cumin-ground-jars,1.15,2026-06-11
curry-powder-medium-jar,1.20,2026-06-11
fennel-seeds-jar,1.55,2026-06-11
garlic-powder-jar,1.45,2026-06-11
nigella-seeds-jar,1.65,2026-06-11
kalanamak1,0.50,2026-06-11
methi-leaves-jar,1.00,2026-06-11
mustard-seeds-black-jar,1.00,2026-06-11
yellow-mustard-seeds,1.40,2026-06-11
nutmeg-whole-jar,3.35,2026-06-11
nutmeg-ground-jar,2.95,2026-06-11
paprika-powder,2.70,2026-06-11
black-pepper-coarse1,1.75,2026-06-11
paprika-powder-jar,1.40,2026-06-11
black-pepper-whole-jar,2.30,2026-06-11
white-pepper-ground-jar,2.85,2026-06-11
tamarind-paste-jar,2.60,2026-06-11
turmeric-powder-jar,1.30,2026-06-11
ground-ginger-jar,1.05,2026-06-11
methi-seeds-jar,1.25,2026-06-11
black-pepper-ground-jar,2.25,2026-06-11
trs-coarse-black-pepper,0.99,2026-06-11
trs-coarse-black-pepper,1.49,2026-06-11
trs-coarse-black-pepper,1.99,2026-06-11
trs-coarse-cornmeal,0.99,2026-06-11
trs-coarse-cornmeal,1.49,2026-06-11
trs-coarse-cornmeal,1.99,2026-06-11
trs-coarse-semolina,0.99,2026-06-11
trs-coarse-semolina,1.49,2026-06-11
trs-coarse-semolina,1.99,2026-06-11
trs-coriander-powder-dhania,0.99,2026-06-11
trs-coriander-powder-dhania,1.49,2026-06-11
trs-coriander-powder-dhania,1.99,2026-06-11
trs-coriander-powder-dhania,2.49,2026-06-11
trs-coriander-powder-dhania,2.99,2026-06-11
trs-coriander-seeds-whole-dhania,0.99,2026-06-11
trs-coriander-seeds-whole-dhania,1.49,2026-06-11
trs-coriander-seeds-whole-dhania,1.99,2026-06-11
trs-coriander-seeds-whole-dhania,2.49,2026-06-11
trs-crushed-chilli,0.99,2026-06-11
trs-crushed-chilli,1.49,2026-06-11
trs-crushed-chilli,1.99,2026-06-11
trs-crushed-chilli,2.49,2026-06-11
trs-cumin-powder,0.99,2026-06-11
trs-cumin-powder,1.49,2026-06-11
trs-cumin-powder,1.99,2026-06-11
trs-cumin-powder,2.49,2026-06-11
trs-cumin-seeds,0.99,2026-06-11
trs-cumin-seeds,1.49,2026-06-11
trs-cumin-seeds,1.99,2026-06-11
trs-cumin-seeds,2.49,2026-06-11
trs-fennel-seeds,0.99,2026-06-11
trs-fennel-seeds,1.49,2026-06-11
trs-fennel-seeds,1.99,2026-06-11
trs-fenugreek-leaves,0.99,2026-06-11
trs-fenugreek-leaves,1.49,2026-06-11
trs-fenugreek-leaves,1.99,2026-06-11
trs-fenugreek-leaves,2.49,2026-06-11
trs-fenugreek-seeds,0.99,2026-06-11
trs-fenugreek-seeds,1.49,2026-06-11
trs-fenugreek-seeds,1.99,2026-06-11
trs-fenugreek-seeds,2.49,2026-06-11
trs-fine-desiccated-coconut,0.99,2026-06-11
trs-fine-desiccated-coconut,1.49,2026-06-11
trs-fine-semolina,0.99,2026-06-11
trs-fine-semolina,1.49,2026-06-11
trs-fine-semolina,1.99,2026-06-11
trs-garam-masala,0.99,2026-06-11
trs-garam-masala,1.49,2026-06-11
trs-garam-masala,1.99,2026-06-11
trs-garam-masala,2.49,2026-06-11
trs-garam-masala,2.99,2026-06-11
trs-garam-masala,3.49,2026-06-11
trs-garlic-powder,0.99,2026-06-11
trs-garlic-powder,1.49,2026-06-11
trs-garlic-powder,1.99,2026-06-11
trs-ginger-garlic-paste,0.99,2026-06-11
trs-ginger-garlic-paste,1.49,2026-06-11
trs-ginger-paste,0.99,2026-06-11
trs-ginger-paste,1.49,2026-06-11
trs-ginger-powder,0.99,2026-06-11
trs-ginger-powder,1.49,2026-06-11
trs-ginger-powder,1.99,2026-06-11
trs-green-cardamom,0.99,2026-06-11
trs-green-cardamom,1.49,2026-06-11
trs-green-cardamom,1.99,2026-06-11
trs-green-lentils,0.99,2026-06-11
trs-green-lentils,1.49,2026-06-11
trs-green-lentils,1.99,2026-06-11
trs-ground-rice,0.99,2026-06-11
trs-ground-rice,1.49,2026-06-11
trs-ground-rice,1.99,2026-06-11
trs-hot-madras-curry,0.99,2026-06-11
trs-hot-madras-curry,1.49,2026-06-11
trs-mild-madras-curry-powder,0.99,2026-06-11
trs-mild-madras-curry-powder,1.49,2026-06-11
trs-mild-madras-curry-powder,1.99,2026-06-11
trs-mild-madras-curry-powder,2.49,2026-06-11
trs-mild-madras-curry-powder,2.99,2026-06-11
trs-moth-beans,0.99,2026-06-11
trs-moth-beans,1.49,2026-06-11
trs-moth-beans,1.99,2026-06-11
trs-mung-beans,0.99,2026-06-11
trs-mung-beans,1.49,2026-06-11
trs-mung-beans,1.99,2026-06-11
trs-mung-beans,2.49,2026-06-11
trs-mung-beans,2.99,2026-06-11
trs-mung-dal,0.99,2026-06-11
trs-mung-dal,1.49,2026-06-11
trs-mung-dal,1.99,2026-06-11
trs-mung-dal,2.49,2026-06-11
trs-mung-dal,2.99,2026-06-11
trs-mung-dal-chilka-split-green-peas,0.99,2026-06-11
trs-mung-dal-chilka-split-green-peas,1.49,2026-06-11
trs-mung-dal-chilka-split-green-peas,1.99,2026-06-11
trs-paprika-powder,0.99,2026-06-11
trs-paprika-powder,1.49,2026-06-11
trs-paprika-powder,1.99,2026-06-11
trs-paprika-powder,2.49,2026-06-11
trs-popcorn,0.99,2026-06-11
trs-popcorn,1.49,2026-06-11
trs-pure-gram-flour,0.99,2026-06-11
trs-pure-gram-flour,1.49,2026-06-11
trs-pure-gram-flour,1.99,2026-06-11
trs-red-adzuki-beans-red-cow-peas,0.99,2026-06-11
trs-red-adzuki-beans-red-cow-peas,1.49,2026-06-11
trs-red-kidney-beans,0.99,2026-06-11
trs-red-kidney-beans,1.49,2026-06-11
trs-red-kidney-beans,1.99,2026-06-11
trs-red-kidney-beans,2.49,2026-06-11
trs-red-kidney-beans,2.99,2026-06-11
trs-red-split-lentils,0.99,2026-06-11
trs-red-split-lentils,1.49,2026-06-11
trs-red-split-lentils,1.99,2026-06-11
trs-red-split-lentils,2.49,2026-06-11
trs-rosecoco-beans,0.99,2026-06-11
trs-rosecoco-beans,1.49,2026-06-11
trs-rosecoco-beans,1.99,2026-06-11
trs-sarson-ka-saag-spiced-mustard-greens-curry,0.99,2026-06-11
trs-sarson-ka-saag-spiced-mustard-greens-curry,1.49,2026-06-11
trs-tapioca-pearls,0.99,2026-06-11
trs-tapioca-pearls,1.49,2026-06-11
trs-toor-dal,0.99,2026-06-11
trs-toor-dal,1.49,2026-06-11
trs-toor-dal,1.99,2026-06-11
trs-toor-dal,2.49,2026-06-11
trs-tumeric-powder,0.99,2026-06-11
trs-tumeric-powder,1.49,2026-06-11
trs-tumeric-powder,1.99,2026-06-11
trs-tumeric-powder,2.49,2026-06-11
trs-urid-beans,0.99,2026-06-11
trs-urid-beans,1.49,2026-06-11
trs-urid-beans,1.99,2026-06-11
trs-urid-beans,2.49,2026-06-11
trs-urid-beans,2.99,2026-06-11
trs-urid-dal,0.99,2026-06-11
trs-urid-dal,1.49,2026-06-11
trs-urid-dal,1.99,2026-06-11
trs-urid-dal,2.49,2026-06-11
trs-urid-dal-chilka,0.99,2026-06-11
trs-urid-dal-chilka,1.49,2026-06-11
trs-urid-dal-chilka,1.99,2026-06-11
trs-urid-whole-gota,0.99,2026-06-11
trs-urid-whole-gota,1.49,2026-06-11
trs-urid-whole-gota,1.99,2026-06-11
trs-urid-whole-gota,2.49,2026-06-11
trs-white-maize-meal,0.99,2026-06-11
trs-white-maize-meal,1.49,2026-06-11
trs-white-maize-meal,1.99,2026-06-11
trs-whole-cinnamon-dalchini,0.99,2026-06-11
trs-whole-cinnamon-dalchini,1.49,2026-06-11
trs-whole-cinnamon-dalchini,1.99,2026-06-11
trs-whole-cinnamon-dalchini,2.49,2026-06-11
trs-yellow-peas,0.99,2026-06-11
trs-yellow-peas,1.49,2026-06-11
trs-yellow-split-peas,0.99,2026-06-11
trs-yellow-split-peas,1.49,2026-06-11
shan-special-chicken-biryani-mix,1.49,2026-06-11
shan-special-beef-biryani-mix,2.99,2026-06-11
shan-special-mutton-biryani-mix,2.99,2026-06-11
shan-sindhi-biryani-mix,2.99,2026-06-11
shan-bombay-biryani-mix,2.99,2026-06-11
shan-karahi-gosht-masala,2.99,2026-06-11
shan-nihari-masala,2.99,2026-06-11
shan-korma-masala,2.99,2026-06-11
shan-butter-chicken-masala,2.99,2026-06-11
shan-chicken-tikka-masala,2.99,2026-06-11
shan-tandoori-chicken-mix,2.99,2026-06-11
shan-seekh-kabab-mix,2.99,2026-06-11
shan-haleem-mix,4.99,2026-06-11
shan-chana-masala,2.99,2026-06-11
shan-daal-masala,2.99,2026-06-11
shan-achar-gosht-masala,2.99,2026-06-11
shan-keema-masala,2.99,2026-06-11
shan-pilau-rice-mix,2.99,2026-06-11
mdh-kitchen-king-masala,1.99,2026-06-11
mdh-chana-masala,2.99,2026-06-11
mdh-rajma-masala,2.99,2026-06-11
mdh-pav-bhaji-masala,2.99,2026-06-11
mdh-paneer-butter-masala,2.99,2026-06-11
mdh-dal-makhani-masala,2.99,2026-06-11
mdh-sambar-masala,2.99,2026-06-11
mdh-chicken-masala,2.99,2026-06-11
mdh-tandoori-masala,2.99,2026-06-11
mdh-meat-masala,2.99,2026-06-11
lijjat-urad-papad-extra-thin,2.49,2026-06-11
lijjat-urad-special-papad,2.49,2026-06-11
lijjat-moong-dal-papad,2.49,2026-06-11
tilda-pure-basmati,5.49,2026-06-11
kohinoor-extra-long-basmati,5.99,2026-06-11
daawat-rozana-basmati,9.99,2026-06-11
elephant-atta-chakki-fresh,4.99,2026-06-11
pillsbury-chakki-fresh-atta,5.49,2026-06-11
aashirvaad-atta-select,5.99,2026-06-11
trs-puffed-lotus-seeds-makhana,2.99,2026-06-11
haldirams-aloo-bhujia-200g,1.99,2026-06-11
haldirams-moong-dal-200g,1.99,2026-06-11
haldirams-all-in-one-mix-200g,1.99,2026-06-11
haldirams-khatta-meetha-mix-200g,1.99,2026-06-11
haldirams-dalmoth-200g,1.99,2026-06-11
haldirams-bhujia-sev-200g,1.99,2026-06-11
haldirams-mathri-200g,1.99,2026-06-11
haldirams-gulab-jamun-tin-500g,3.99,2026-06-11
haldirams-rasgulla-tin-1kg,6.99,2026-06-11
haldirams-soan-papdi-500g,4.49,2026-06-11
parle-g-glucose-biscuits-400g,1.99,2026-06-11
parle-monaco-salted-crackers-200g,1.49,2026-06-11
parle-bourbon-200g,1.49,2026-06-11
britannia-good-day-butter-cookies-150g,1.99,2026-06-11
britannia-good-day-cashew-cookies-150g,1.99,2026-06-11
britannia-marie-gold-200g,1.49,2026-06-11
britannia-bourbon-cream-200g,1.49,2026-06-11
maggi-2-minute-noodles-masala-4-pack,2.49,2026-06-11
maggi-hot-sweet-sauce-400g,2.99,2026-06-11
pataks-mango-chutney-340g,2.99,2026-06-11
pataks-lime-pickle-283g,2.99,2026-06-11
pataks-mixed-pickle-283g,2.99,2026-06-11
pataks-tikka-masala-paste-290g,3.49,2026-06-11
lal-qilla-premium-basmati-5kg,11.99,2026-06-11
falak-super-basmati-5kg,11.99,2026-06-11
brooke-bond-red-label-tea-500g,4.49,2026-06-11
tata-gold-tea-500g,4.99,2026-06-11
wagh-bakri-premium-tea-500g,4.49,2026-06-11
wagh-bakri-masala-chai-250g,3.49,2026-06-11
girnar-masala-chai-tea-bags-100-bags,4.99,2026-06-11
hamdard-rooh-afza-750ml,4.99,2026-06-11
maaza-mango-drink-1l,2.49,2026-06-11
frooti-mango-1l,2.49,2026-06-11
bikaji-bhujia-200g,1.99,2026-06-11
bikaji-all-in-one-mix-200g,1.99,2026-06-11
bikaji-khatta-meetha-200g,1.99,2026-06-11
bournvita-500g,4.49,2026-06-11
horlicks-original-500g,4.99,2026-06-11
dabur-chyawanprash-500g,5.99,2026-06-11
glucon-d-mango-500g,3.99,2026-06-11
parle-mango-bite-40-piece-bag,1.99,2026-06-11
parle-melody-40-piece-bag,1.99,2026-06-11
bikaji-soan-papdi-500g,4.49,2026-06-11
bikaji-gulab-jamun-tin-1kg,6.99,2026-06-11
tilda-pure-basmati-5kg,7.99,2026-06-11
tilda-pure-basmati-10kg,13.99,2026-06-11
kohinoor-extra-long-basmati-5kg,8.99,2026-06-11
lal-qilla-premium-basmati-10kg,9.99,2026-06-11
elephant-atta-chakki-fresh-10kg,9.99,2026-06-11
pillsbury-chakki-fresh-atta-10kg,9.99,2026-06-11
aashirvaad-atta-select-10kg,10.99,2026-06-11
brooke-bond-red-label-tea-1kg,7.99,2026-06-11
tata-gold-tea-1kg,8.99,2026-06-11
wagh-bakri-premium-tea-1kg,8.99,2026-06-11
hamdard-rooh-afza-15l,6.99,2026-06-11
haldirams-aloo-bhujia-400g,1.99,2026-06-11
haldirams-aloo-bhujia-1kg,3.99,2026-06-11
haldirams-moong-dal-400g,2.49,2026-06-11
haldirams-gulab-jamun-tin-1kg,5.99,2026-06-11
parle-g-glucose-biscuits-1kg,3.99,2026-06-11
maggi-2-minute-noodles-masala-8-pack,4.49,2026-06-11
