handle,product_title,subtitle,description,brand,category_handle,collection_handle,dietary_flags,status,brand_slug,vat_rate,regional_tags,subscription_eligible,eco_rating,image_filenames
bovonto-grape-300ml-6pack,Bovonto - Grape Soda 6-Pack,,Cult Tamil grape soda. A product that generates word-of-mouth just by being stocked.,Bovonto,soft_drinks_juices,,vegetarian;vegan;gluten-free,published,bovonto,,true,published,bovonto,A
britannia-bourbon-cream,Britannia Bourbon Cream,,Britannia Bourbon Cream - rich chocolate cream-filled sandwich biscuits with a satisfying snap.,Britannia,biscuits_crackers,,vegetarian,published,britannia,0,,true,,
britannia-good-day-butter-cookies,Britannia Good Day Butter Cookies,,Britannia Good Day Butter Cookies - rich and crumbly butter cookies with a hint of cardamom. A daily tea-time essential.,Britannia,biscuits_crackers,,vegetarian,published,britannia,0,,true,,
britannia-good-day-cashew-cookies,Britannia Good Day Cashew Cookies,,Britannia Good Day Cashew Cookies - buttery cookies studded with real cashew pieces for a premium tea-time treat.,Britannia,biscuits_crackers,,vegetarian,published,britannia,0,,true,,
britannia-marie-gold,Britannia Marie Gold,,Britannia Marie Gold - light and crisp tea biscuits made with whole wheat; perfect for dunking in chai.,Britannia,biscuits_crackers,,vegetarian,published,britannia,0,,true,,
brooke-bond-red-label,Brooke Bond - Red Label Tea,,India's favourite loose leaf black tea blend. Rich; strong and full-bodied.,Brooke Bond,tea_coffee,,vegetarian;vegan;gluten-free,published,brooke-bond,,true,published,brooke-bond,A
bru-instant-coffee,Bru - Instant Coffee Original,,India's favourite instant coffee. Chicory blend for the classic South Indian filter coffee taste.,Bru,tea_coffee,,vegetarian;vegan;gluten-free,published,bru,,true,published,bru,A
cadbury-5star-import-6pack,Cadbury - 5 Star Indian Import 6-Pack,,Rich caramel and chocolate bar imported from India. Nostalgic taste; cult following.,Cadbury,sweets_confectionery,,vegetarian,published,cadbury,0,,true,,
cadbury-gems-import-6pack,Cadbury - Gems Indian Import 6-Pack,,Colourful chocolate buttons in a tube. Childhood nostalgia in every bite.,Cadbury,sweets_confectionery,,vegetarian,published,cadbury,0,,true,,
cadbury-perk-import-6pack,Cadbury - Perk Indian Import 6-Pack,,Crispy wafer coated in smooth Cadbury chocolate. Indian import â€” crispier than UK version.,Cadbury,sweets_confectionery,,vegetarian,published,cadbury,0,,true,,
chings-hakka-noodles,Ching's Secret - Hakka Noodles,,Authentic Indo-Chinese noodles â€” ready in 3 minutes. A weekly trigger for students.,Ching's Secret,vermicelli_noodles,,vegetarian,published,chings-secret,0,,true,,
chings-schezwan-noodles,Ching's Secret - Schezwan Noodles,,Schezwan-flavoured instant noodles from the Indo-Chinese kitchen.,Ching's Secret,vermicelli_noodles,,vegetarian,published,chings-secret,0,,true,,
chings-schezwan-sauce,Ching's Secret - Schezwan Sauce,,The iconic spicy Indo-Chinese sauce. A cross-demographic sensation â€” used in everything from noodles to sandwiches.,Ching's Secret,cooking_pastes_sauces,,vegetarian;vegan,published,chings-secret,0,,true,,
daawat-rozana-basmati,Daawat Rozana Basmati,,Daawat Rozana Basmati - everyday basmati rice that delivers consistent quality and aroma for daily Indian meals.,Daawat,basmati_rice,,vegetarian,published,daawat,0,,true,,
dabur-chyawanprash,Dabur - Chyawanprash,,Traditional Ayurvedic herbal jam made with amla and 40+ herbs for immunity and vitality.,Dabur,wellness_ayurveda,,vegetarian;vegan;gluten-free,published,dabur,0,,true,,
east-end-chana-dal,East End - Chana Dal,,Split Bengal gram â€” essential for dal; vada; and sweets like puran poli.,East End,lentils_dals,,vegetarian;vegan;gluten-free,published,east-end,,true,published,east-end,A
east-end-coriander-powder,East End - Coriander Powder,,Premium ground coriander â€” a must-have for every Indian spice rack.,East End,powdered_spices,,vegetarian;vegan;gluten-free,published,east-end,,true,published,east-end,A
east-end-ginger-garlic-paste,East End - Ginger-Garlic Paste,,1kg value tub from East End. Anchor purchase for frequent cooks.,East End,cooking_pastes_sauces,,vegetarian;vegan;gluten-free,published,east-end,,true,published,east-end,A
east-end-kabuli-chana,East End - Kabuli Chana,,Large white chickpeas for chana masala and salads. A Punjabi kitchen essential.,East End,beans_peas_pulses,,vegetarian;vegan;gluten-free,published,east-end,,true,published,east-end,A
east-end-kashmiri-chilli,East End - Kashmiri Chilli Powder,,East End Kashmiri chilli â€” mild heat with rich colour for curries.,East End,powdered_spices,,vegetarian;vegan;gluten-free,published,east-end,,true,published,east-end,A
east-end-moong-dal,East End - Moong Dal Washed,,Yellow split moong dal â€” quick-cooking; perfect for kitcheri and light dals.,East End,lentils_dals,,vegetarian;vegan;gluten-free,published,east-end,,true,published,east-end,A
east-end-red-split-lentils,East End - Red Split Lentils,,Red split lentils from East End. Quick-cooking pantry essential.,East End,lentils_dals,,vegetarian;vegan;gluten-free,published,east-end,,true,published,east-end,A
east-end-sooji-fine,East End - Sooji Fine,,Fine semolina for upma; halwa; and traditional sweets. A pantry essential.,East End,semolina_rava,,vegetarian,published,east-end,0,,true,,
east-end-toor-dal-oily,East End - Toor Dal Oily,,Oily toor dal from East End. A staple for everyday Indian cooking.,East End,lentils_dals,,vegetarian;vegan;gluten-free,published,east-end,,true,published,east-end,A
east-end-urad-dal-black-whole,East End - Urad Dal Black Whole,,Black whole urad for dal makhani and Punjabi dishes.,East End,beans_peas_pulses,,vegetarian;vegan;gluten-free,published,east-end,,true,published,east-end,A
elephant-atta-chakki-fresh,Elephant Atta Chakki Fresh,,Elephant Atta Chakki Fresh - stone-ground whole wheat chapati flour milled fresh for soft and fluffy rotis.,Elephant,atta_flour,,vegetarian,published,elephant,0,,true,,
everest-garam-masala,Everest - Garam Masala,,Everest's signature aromatic garam masala blend for finishing curries.,Everest,masalas_spice_blends,,vegetarian,published,everest,0,,true,,
everest-pav-bhaji-masala,Everest - Pav Bhaji Masala,,Mumbai street-food spice blend for spicy vegetable mash. Gujarati/Maharashtrian favourite.,Everest,masalas_spice_blends,,vegetarian,published,everest,0,,true,,
everest-sambhar-masala,Everest - Sambhar Masala,,Everest's take on the classic South Indian sambhar spice blend.,Everest,masalas_spice_blends,,vegetarian,published,everest,0,,true,,
everest-tea-masala,Everest - Tea Masala,,Aromatic spice mix for masala chai â€” cardamom; ginger; cloves. Repurchased weekly.,Everest,masalas_spice_blends,,vegetarian,published,everest,0,,true,,
falak-super-basmati,Falak Super Basmati,,Falak Super Basmati - premium extra-long grain Pakistani basmati; highly sought after by the Pakistani community.,Falak,basmati_rice,,vegetarian,published,falak,0,,true,,
frooti-mango,Frooti - Mango Drink,,Fresh and refreshing mango drink in the iconic green tetra pack. A nostalgic taste of India.,Frooti,soft_drinks_juices,,vegetarian;vegan;gluten-free,published,frooti,,true,published,frooti,A
girnar-masala-chai-teabags-100,Girnar - Masala Chai Tea Bags 100 Box,,Convenient tea bags infused with traditional Indian spices for instant masala chai.,Girnar,tea_coffee,,vegetarian;vegan;gluten-free,published,girnar,,true,published,girnar,A
glucon-d-mango,Glucon-D - Mango,,Instant glucose energy drink powder with refreshing mango flavour. Popular for summer hydration.,Glucon-D,wellness_ayurveda,,vegetarian;vegan;gluten-free,published,glucon-d,0,,true,,
hajmola-digestive-jar-100tabs,Hajmola - Digestive Candy Jar 100 Tablets,,Tangy digestive tablets â€” a post-meal ritual across Indian households. Near-pharmacy item.,Hajmola,wellness_ayurveda,,vegetarian;vegan;gluten-free,published,hajmola,0,,true,,
haldirams-aloo-bhujia,Haldiram's Aloo Bhujia,,Haldiram's Aloo Bhujia 400g - Premium quality product.,Haldiram,savouries_papadoms,,vegetarian,published,haldirams,0,,true,,
haldirams-gulab-jamun-tin,Haldiram's Gulab Jamun Tin,,Haldiram's Gulab Jamun Tin - soft milk-solid dumplings in fragrant sugar syrup. Ready to serve; ambient storage.,Haldiram,sweets_confectionery,,vegetarian,published,haldirams,0,,true,,
haldirams-moong-dal,Haldiram's Moong Dal,,Haldiram's Moong Dal 400g - Premium quality product.,Haldiram,savouries_papadoms,,vegetarian,published,haldirams,0,,true,,
haldirams-rasgulla-tin,Haldiram's Rasgulla Tin,,Haldiram's Rasgulla Tin - spongy cottage cheese balls in light sugar syrup; a beloved Bengali sweet.,Haldiram,sweets_confectionery,,vegetarian,published,haldirams,0,,true,,
haldirams-soan-papdi,Haldiram's Soan Papdi,,Haldiram's Soan Papdi - flaky; melt-in-the-mouth gram flour sweet with pistachios and cardamom. The #1 Diwali gifting product in UK Indian market.,Haldiram,sweets_confectionery,,vegetarian,published,haldirams,0,,true,,
haldirams-mathri,Haldiram's - Mathri,,Flaky; savoury whole wheat flour crackers from Haldiram's. Perfect with chai or pickle.,Haldiram's,savouries_papadoms,,vegetarian,published,haldirams,0,,true,,
rooh-afza,Hamdard - Rooh Afza,,The legendary rose herb and fruit cooling syrup. Mix with water or milk. Ramadan essential with 4x normal demand.,Hamdard,soft_drinks_juices,,vegetarian;vegan;gluten-free,published,hamdard,0,,true,,
horlicks-original,Horlicks - Original,,Malted barley and wheat health drink with essential nutrients. The trusted family nourishment brand.,Horlicks,health_malted_drinks,,vegetarian,published,horlicks,0,,true,,
idhayam-sesame-oil,Idhayam - Sesame / Gingelly Oil,,Pure gingelly oil â€” a Tamil community essential. Unique nutty flavour for South Indian cooking.,Idhayam,cooking_oils,,vegetarian;vegan,published,idhayam,0,tamil,true,,
karachi-bakery-fruit-biscuits,Karachi Bakery - Fruit Biscuits,,Premium Hyderabadi fruit biscuits with tutti frutti. A Diwali gifting essential.,Karachi Bakery,biscuits_crackers,,vegetarian,published,karachi-bakery,0,,true,,
karachi-bakery-osmania-biscuits,Karachi Bakery - Osmania Biscuits,,Hyderabadi Osmania biscuits â€” buttery; lightly sweetened tea biscuits.,Karachi Bakery,biscuits_crackers,,vegetarian,published,karachi-bakery,0,,true,,
kohinoor-extra-long-basmati,Kohinoor Extra Long Basmati,,Kohinoor Extra Long Basmati - aged Indian basmati with extra-long grains that stay separate and fluffy when cooked.,Kohinoor,basmati_rice,,vegetarian,published,kohinoor,0,,true,,
lal-qilla-premium-basmati,Lal Qilla Premium Basmati,,Lal Qilla Premium Basmati - premium Pakistani basmati rice; prized for its extra-long grains and distinctive fragrance.,Lal qilla,basmati_rice,,vegetarian,published,lal-qilla,0,,true,,
laziza-gajar-halwa-mix,Laziza - Gajar Ka Halwa Mix,,Carrot pudding dessert mix â€” a winter favourite across South Asian households.,Laziza,dessert_mixes,,vegetarian,published,laziza,0,,true,,
laziza-gulab-jamun-mix,Laziza - Gulab Jamun Mix,,Complete dessert mix for soft milk-solid dumplings in rose syrup. Ramadan essential.,Laziza,dessert_mixes,,vegetarian,published,laziza,0,,true,,
laziza-kheer-mix,Laziza - Kheer Mix,,Creamy rice pudding mix â€” a beloved South Asian dessert for celebrations.,Laziza,dessert_mixes,,vegetarian,published,laziza,0,,true,,
laziza-kulfi-mix,Laziza - Kulfi Mix,,Traditional Indian ice cream dessert mix â€” creamy; aromatic; freeze at home.,Laziza,dessert_mixes,,vegetarian,published,laziza,0,,true,,
laziza-rasmalai-mix,Laziza - Rasmalai Mix,,Complete mix for soft cottage-cheese patties in sweetened milk. Festive favourite.,Laziza,dessert_mixes,,vegetarian,published,laziza,0,,true,,
laziza-zarda-mix,Laziza - Zarda Sweet Rice Mix,,Sweet saffron rice dessert mix â€” a festive favourite for Eid and weddings.,Laziza,dessert_mixes,,vegetarian,published,laziza,0,,true,,
leo-coffee-pure,Leo Coffee - Pure,,Premium South Indian filter coffee. Bold; aromatic; and deeply satisfying.,Leo Coffee,tea_coffee,,vegetarian;vegan;gluten-free,published,leo-coffee,,true,published,leo-coffee,A
lg-asafoetida-hing,LG - Asafoetida Hing,,Pure compounded asafoetida. The essential tempering ingredient for dals and sambars. Not stocked by Tesco.,LG,powdered_spices,,vegetarian;gluten-free,published,lg,0,,true,,
lijjat-moong-dal-papad,Lijjat Moong Dal Papad,,Lijjat Moong Dal Papad - lightly spiced green gram papadums; hand-rolled and sun-dried by the Lijjat women's cooperative.,Lijjat,savouries_papadoms,,vegetarian,published,lijjat,0,,true,,
lijjat-urad-papad-extra-thin,Lijjat Urad Papad Extra Thin,,Lijjat Urad Papad Extra Thin - hand-rolled sun-dried black gram papadums; paper-thin and perfect for roasting or frying.,Lijjat,savouries_papadoms,,vegetarian,published,lijjat,0,,true,,
lijjat-urad-special-papad,Lijjat Urad Special Papad,,Lijjat Urad Special Papad - premium hand-rolled black gram papadums with added spices for extra flavour.,Lijjat,savouries_papadoms,,vegetarian,published,lijjat,0,,true,,
maggi-2-minute-noodles-masala-4-pack,Maggi 2-Minute Noodles Masala,,Maggi 2-Minute Noodles Masala - the iconic instant noodles with signature masala flavour. 4-pack multipack.,Maggi,savouries_papadoms,,vegetarian,published,maggi,0,,true,,
maggi-2-minute-noodles-masala-8-pack,Maggi 2-Minute Noodles Masala 8-Pack,,Maggi 2-Minute Noodles Masala 8-Pack - Premium quality product.,Maggi,savouries_papadoms,,vegetarian,published,maggi,0,,true,,
maggi-hot-sweet-sauce,Maggi Hot & Sweet Sauce,,Maggi Hot & Sweet Sauce - the legendary sweet and spicy tomato chilli sauce; an essential Indian table condiment.,Maggi,cooking_pastes_sauces,,vegetarian,published,maggi,0,,true,,
maggi-noodles-masala-4pack,Maggi - 2-Minute Noodles Masala 4-Pack,,The iconic instant noodles with signature masala flavour. A universal weekly trigger.,Maggi,vermicelli_noodles,,vegetarian,published,maggi,0,,true,,
maggi-noodles-masala-8pack,Maggi - 2-Minute Noodles Masala 8-Pack,,Bulk 8-pack value bundle of the iconic instant noodles.,Maggi,vermicelli_noodles,,vegetarian,published,maggi,0,,true,,
mdh-sambar-masala,MDH - Sambar Masala,,Authentic South Indian spice blend for tangy lentil and vegetable sambar.,MDH,masalas_spice_blends,,vegetarian,published,mdh,0,,true,,
mtr-dosa-mix,MTR - Plain Dosa Mix,,Traditional dosa batter mix â€” just add water. Crispy golden dosas in minutes.,MTR,instant_breakfast_mixes,,vegetarian;vegan,published,mtr,0,,true,,
mtr-gulab-jamun-tin,MTR - Gulab Jamun Tin,,Soft milk-solid dumplings in sugar syrup. Ready-to-serve ambient tin.,MTR,sweets_confectionery,,vegetarian,published,mtr,0,,true,,
mtr-idli-mix,MTR - Idli Mix,,Traditional idli batter mix â€” just add water. A weekly trigger for Tamil community.,MTR,instant_breakfast_mixes,,vegetarian;vegan,published,mtr,0,,true,,
mtr-khaman-dhokla-mix,MTR - Khaman Dhokla Mix,,Instant Gujarati steamed snack mix â€” fluffy; tangy; ready in minutes.,MTR,instant_breakfast_mixes,,vegetarian,published,mtr,0,,true,,
mtr-rasmalai-tin,MTR - Rasmalai Tin,,Cottage cheese patties in sweetened milk. A beloved Bengali sweet; ambient storage.,MTR,sweets_confectionery,,vegetarian,published,mtr,0,,true,,
mtr-rava-dosa-mix,MTR - Rava Dosa Mix,,Instant semolina dosa mix for crispy; lacy dosas. No fermentation needed.,MTR,instant_breakfast_mixes,,vegetarian,published,mtr,0,,true,,
mtr-rava-idli-mix,MTR - Rava Idli Mix,,Semolina idli mix â€” no grinding needed. Quick and convenient South Indian breakfast.,MTR,instant_breakfast_mixes,,vegetarian,published,mtr,0,,true,,
mtr-roasted-vermicelli,MTR - Roasted Vermicelli,,Pre-roasted vermicelli for Sheer Khurma and payasam. Ramadan and Eid trigger item.,MTR,vermicelli_noodles,,vegetarian,published,mtr,0,,true,,
mtr-upma-mix,MTR - Upma Mix,,Semolina upma mix â€” a savoury South Indian breakfast ready in minutes.,MTR,instant_breakfast_mixes,,vegetarian,published,mtr,0,,true,,
mtr-vada-mix,MTR - Vada Mix,,Crispy urad dal vada mix â€” South Indian fritter classic. Just add water and fry.,MTR,instant_breakfast_mixes,,vegetarian;vegan,published,mtr,0,,true,,
14681551307137,Natco - Spiced Tea - Masala Blend 160s,,Refreshing drink from Natco Foods. Authentic Indian taste.,Natco,tea_coffee,,vegetarian,published,natco,0,,true,,
15097116393857,Natco - Lemon Juice 1 Ltr,,Food-grade colouring and flavouring essence from Natco Foods. Ideal for baking and desserts.,Natco,baking_essences,,vegetarian,published,natco,0,,true,,
15097122881921,Natco - Lemon Juice,,Food-grade colouring and flavouring essence from Natco Foods. Ideal for baking and desserts.,Natco,baking_essences,,vegetarian,published,natco,0,,true,,
15097233015169,Natco - Lemon Juice with Essential Oil,,Food-grade colouring and flavouring essence from Natco Foods. Ideal for baking and desserts.,Natco,baking_essences,,vegetarian,published,natco,0,,true,,
15383643226497,Natco - Pure Mustard Oil 1Ltr,,Pure cooking oil from Natco Foods. Essential for Indian cooking and frying.,Natco,cooking_oils,,vegetarian,published,natco,0,bengali,true,,
15383683334529,Natco - Pure Mustard Oil,,Pure cooking oil from Natco Foods. Essential for Indian cooking and frying.,Natco,cooking_oils,,vegetarian,published,natco,0,bengali,true,,
4567655219272,Natco - Rose Water,,Food-grade colouring and flavouring essence from Natco Foods. Ideal for baking and desserts.,Natco,baking_essences,,vegetarian,published,natco,0,,true,,
4567655284808,Natco - Kevda Water,,Food-grade colouring and flavouring essence from Natco Foods. Ideal for baking and desserts.,Natco,baking_essences,,vegetarian,published,natco,0,,true,,
4567655350344,Natco - Coconut Flavouring Essence,,Food-grade colouring and flavouring essence from Natco Foods. Ideal for baking and desserts.,Natco,baking_essences,,vegetarian,published,natco,0,,true,,
4567655383112,Natco - Pineapple Flavouring Essence,,Food-grade colouring and flavouring essence from Natco Foods. Ideal for baking and desserts.,Natco,baking_essences,,vegetarian,published,natco,0,,true,,
4567655448648,Natco - Strawberry Flavouring Essence,,Food-grade colouring and flavouring essence from Natco Foods. Ideal for baking and desserts.,Natco,baking_essences,,vegetarian,published,natco,0,,true,,
4567655514184,Natco - Rose Flavouring Essence,,Food-grade colouring and flavouring essence from Natco Foods. Ideal for baking and desserts.,Natco,baking_essences,,vegetarian,published,natco,0,,true,,
4567655612488,Natco - Almond Flavouring Essence,,Food-grade colouring and flavouring essence from Natco Foods. Ideal for baking and desserts.,Natco,baking_essences,,vegetarian,published,natco,0,,true,,
4567655678024,Natco - Vanilla Flavouring Essence,,Food-grade colouring and flavouring essence from Natco Foods. Ideal for baking and desserts.,Natco,baking_essences,,vegetarian,published,natco,0,,true,,
4567655743560,Natco - Green Food Colouring - Liquid,,Food-grade colouring and flavouring essence from Natco Foods. Ideal for baking and desserts.,Natco,baking_essences,,vegetarian,published,natco,0,,true,,
4567655841864,Natco - Red Food Colouring - Liquid,,Food-grade colouring and flavouring essence from Natco Foods. Ideal for baking and desserts.,Natco,baking_essences,,vegetarian,published,natco,0,,true,,
4567655874632,Natco - Orange Food Colouring - Liquid,,Food-grade colouring and flavouring essence from Natco Foods. Ideal for baking and desserts.,Natco,baking_essences,,vegetarian,published,natco,0,,true,,
4567655972936,Natco - Green Food Colouring - Powder,,Food-grade colouring and flavouring essence from Natco Foods. Ideal for baking and desserts.,Natco,baking_essences,,vegetarian,published,natco,0,,true,,
4567656005704,Natco - Red Food Colouring - Powder,,Food-grade colouring and flavouring essence from Natco Foods. Ideal for baking and desserts.,Natco,baking_essences,,vegetarian,published,natco,0,,true,,
4567656071240,Natco - Orange Food Colouring - Powder,,Food-grade colouring and flavouring essence from Natco Foods. Ideal for baking and desserts.,Natco,baking_essences,,vegetarian,published,natco,0,,true,,
4567656104008,Natco - Yellow Food Colouring - Powder,,Food-grade colouring and flavouring essence from Natco Foods. Ideal for baking and desserts.,Natco,baking_essences,,vegetarian,published,natco,0,,true,,
4567656169544,Natco - Tandoori Masala Jar,,Premium whole and ground spice from Natco Foods. Essential for authentic Indian cooking.,Natco,masalas_spice_blends,,vegetarian;vegan;gluten-free,published,natco,0,,true,,
4567656759368,Natco - Garam Masala Jar,,Premium whole and ground spice from Natco Foods. Essential for authentic Indian cooking.,Natco,masalas_spice_blends,,vegetarian;vegan;gluten-free,published,natco,0,,true,,
4567656988744,Natco - Coriander Ground Jar,,Premium whole and ground spice from Natco Foods. Essential for authentic Indian cooking.,Natco,powdered_spices,,vegetarian;vegan;gluten-free,published,natco,0,,true,,
4567657054280,Natco - Cloves Jar,,Premium whole and ground spice from Natco Foods. Essential for authentic Indian cooking.,Natco,whole_spices_seeds,,vegetarian;vegan;gluten-free,published,natco,0,,true,,
4567657087048,Natco - Cinnamon Ground Jar,,Premium whole and ground spice from Natco Foods. Essential for authentic Indian cooking.,Natco,powdered_spices,,vegetarian;vegan;gluten-free,published,natco,0,,true,,
4567657119816,Natco - Cassia (Dalchini) Jar,,Premium whole and ground spice from Natco Foods. Essential for authentic Indian cooking.,Natco,whole_spices_seeds,,vegetarian;vegan;gluten-free,published,natco,0,,true,,
4567657185352,Natco - Chilli Powder Hot Jar,,Premium whole and ground spice from Natco Foods. Essential for authentic Indian cooking.,Natco,powdered_spices,,vegetarian;vegan;gluten-free,published,natco,0,,true,,
4567657250888,Natco - Chilli Crushed Jar,,Premium whole and ground spice from Natco Foods. Essential for authentic Indian cooking.,Natco,powdered_spices,,vegetarian;vegan;gluten-free,published,natco,0,,true,,
4567657316424,Natco - Cardamom Green Jar,,Premium whole and ground spice from Natco Foods. Essential for authentic Indian cooking.,Natco,whole_spices_seeds,,vegetarian;vegan;gluten-free,published,natco,0,,true,,
4567657381960,Natco - Bay Leaves Jar,,Premium whole and ground spice from Natco Foods. Essential for authentic Indian cooking.,Natco,herbs_leaves,,vegetarian;vegan;gluten-free,published,natco,0,,true,,
4567657447496,Natco - Asafoetida (Hing) Jar,,Premium whole and ground spice from Natco Foods. Essential for authentic Indian cooking.,Natco,powdered_spices,,vegetarian;vegan;gluten-free,published,natco,0,,true,,
4567657513032,Natco - Aniseed Star Jar,,Premium whole and ground spice from Natco Foods. Essential for authentic Indian cooking.,Natco,whole_spices_seeds,,vegetarian;vegan;gluten-free,published,natco,0,,true,,
4567657545800,Natco - Amchoor Powder Jar,,Premium whole and ground spice from Natco Foods. Essential for authentic Indian cooking.,Natco,powdered_spices,,vegetarian;vegan;gluten-free,published,natco,0,,true,,
4567657578568,Natco - Ajwan Seeds Jar,,Premium whole and ground spice from Natco Foods. Essential for authentic Indian cooking.,Natco,whole_spices_seeds,,vegetarian;vegan;gluten-free,published,natco,0,,true,,
4567657644104,Natco - Tandoori Masala,,Expertly blended masala mix from Natco Foods. Perfect balance of spices for traditional dishes.,Natco,masalas_spice_blends,,vegetarian;vegan;gluten-free,published,natco,0,,true,,
4567658135624,Natco - Mixed Masala Whole,,Expertly blended masala mix from Natco Foods. Perfect balance of spices for traditional dishes.,Natco,masalas_spice_blends,,vegetarian;vegan;gluten-free,published,natco,0,,true,,
4567658168392,Natco - Kasuri Methi Leaves,,Premium whole and ground spice from Natco Foods. Essential for authentic Indian cooking.,Natco,herbs_leaves,,vegetarian;vegan;gluten-free,published,natco,0,,true,,
4567658627144,Natco - Garam Masala,,Expertly blended masala mix from Natco Foods. Perfect balance of spices for traditional dishes.,Natco,masalas_spice_blends,,vegetarian;vegan;gluten-free,published,natco,0,,true,,
4567659905096,Natco - Vermice T&apos;Dini-Fedelini,,Fine couscous and wheat products from Natco Foods. Quick and versatile.,Natco,speciality_flours_grains,,vegetarian,published,natco,0,,true,,
4567660134472,Natco - Black Chia Seeds,,Nutritious seeds from Natco Foods. Great for healthy meals and baking.,Natco,whole_spices_seeds,,vegetarian,published,natco,0,,true,,
4567660167240,Natco - Peanut Gachak (Peanut Brittle),,Roasted and seasoned nuts from Natco Foods. Delicious and satisfying snacks.,Natco,sweets_confectionery,,vegetarian;vegan;gluten-free,published,natco,0,,true,,
4567660298312,Natco - Sugar Candy,,Natural sugar from Natco Foods. Essential for Indian sweets and daily use.,Natco,sweeteners,,vegetarian;vegan;gluten-free,published,natco,0,,true,,
