variant_handle,vendor_handle,vendor_sku,cost_price_gbp,sourcing_depot,warehouse_aisle,lead_time_days,min_order_qty
east-end-moong-dal__east-end-moong-dal-2kg,east_end_foods,east-end-east-end-moong-dal-2kg,,default_depot,G1-G8,3,6,6
east-end-red-split-lentils__east-end-red-split-lentils-2kg,east_end_foods,east-end-east-end-red-split-lentils-2kg,,default_depot,G1-G8,3,6,6
east-end-sooji-fine__east-end-sooji-fine-500g,east_end_foods,east-end-east-end-sooji-fine-500g,,default_depot,G1-G8,3,6,6
east-end-toor-dal-oily__east-end-toor-dal-oily-2kg,east_end_foods,east-end-east-end-toor-dal-oily-2kg,,default_depot,G1-G8,3,6,6
east-end-urad-dal-black-whole__east-end-urad-black-whole-2kg,east_end_foods,east-end-east-end-urad-black-whole-2kg,,default_depot,G1-G8,3,6,6
elephant-atta-chakki-fresh__elephant-elephant-atta-chakki-fresh-5kg,multiple_suppliers,elephant-elephant-elephant-atta-chakki-fresh-5kg,,default_depot,G1-G8,3,6,6
elephant-atta-chakki-fresh__elephant-elephant-atta-chakki-fresh-10kg,multiple_suppliers,elephant-elephant-elephant-atta-chakki-fresh-10kg,,default_depot,G1-G8,3,6,6
everest-garam-masala__everest-garam-masala-100g,everest_spices,everest-everest-garam-masala-100g,,default_depot,G1-G8,3,6,6
everest-pav-bhaji-masala__everest-pav-bhaji-100g,everest_spices,everest-everest-pav-bhaji-100g,,default_depot,G1-G8,3,6,6
everest-sambhar-masala__everest-sambhar-masala-100g,everest_spices,everest-everest-sambhar-masala-100g,,default_depot,G1-G8,3,6,6
everest-tea-masala__everest-tea-masala-100g,everest_spices,everest-everest-tea-masala-100g,,default_depot,G1-G8,3,6,6
falak-super-basmati__falak-falak-super-basmati-5kg,multiple_suppliers,falak-falak-falak-super-basmati-5kg,,default_depot,G1-G8,3,6,6
frooti-mango__frooti-mango-1l,multiple_suppliers,frooti-frooti-mango-1l,,default_depot,G1-G8,3,6,6
girnar-masala-chai-teabags-100__girnar-chai-100bags,multiple_suppliers,girnar-girnar-chai-100bags,,default_depot,G1-G8,3,6,6
glucon-d-mango__glucon-d-mango-500g,multiple_suppliers,glucon-d-glucon-d-mango-500g,,default_depot,G1-G8,3,6,6
hajmola-digestive-jar-100tabs__hajmola-jar-100tabs,multiple_suppliers,hajmola-hajmola-jar-100tabs,,default_depot,G1-G8,3,6,6
haldirams-aloo-bhujia__haldirams-haldirams-aloo-bhujia-400g,haldiram_snacks,haldirams-haldirams-haldirams-aloo-bhujia-400g,,default_depot,G1-G8,3,6,6
haldirams-aloo-bhujia__haldirams-haldirams-aloo-bhujia-1kg,haldiram_snacks,haldirams-haldirams-haldirams-aloo-bhujia-1kg,,default_depot,G1-G8,3,6,6
haldirams-gulab-jamun-tin__haldirams-haldirams-gulab-jamun-tin-500g,haldiram_snacks,haldirams-haldirams-haldirams-gulab-jamun-tin-500g,,default_depot,G1-G8,3,6,6
haldirams-gulab-jamun-tin__haldirams-haldirams-gulab-jamun-tin-1kg,haldiram_snacks,haldirams-haldirams-haldirams-gulab-jamun-tin-1kg,,default_depot,G1-G8,3,6,6
haldirams-moong-dal__haldirams-haldirams-moong-dal-400g,haldiram_snacks,haldirams-haldirams-haldirams-moong-dal-400g,,default_depot,G1-G8,3,6,6
haldirams-rasgulla-tin__haldirams-haldirams-rasgulla-tin-1kg,haldiram_snacks,haldirams-haldirams-haldirams-rasgulla-tin-1kg,,default_depot,G1-G8,3,6,6
haldirams-soan-papdi__haldirams-haldirams-soan-papdi-500g,haldiram_snacks,haldirams-haldirams-haldirams-soan-papdi-500g,,default_depot,G1-G8,3,6,6
haldirams-mathri__haldirams-mathri-200g,haldiram_snacks,haldirams-haldirams-mathri-200g,,default_depot,G1-G8,3,6,6
rooh-afza__rooh-afza-750ml,multiple_suppliers,hamdard-rooh-afza-750ml,,default_depot,G1-G8,3,6,6
rooh-afza__rooh-afza-1-5l,multiple_suppliers,hamdard-rooh-afza-1-5l,,default_depot,G1-G8,3,6,6
horlicks-original__horlicks-500g,multiple_suppliers,horlicks-horlicks-500g,,default_depot,G1-G8,3,6,6
idhayam-sesame-oil__idhayam-sesame-oil-1l,multiple_suppliers,idhayam-idhayam-sesame-oil-1l,,default_depot,G1-G8,3,6,6
karachi-bakery-fruit-biscuits__karachi-fruit-biscuits-400g,multiple_suppliers,karachi-bakery-karachi-fruit-biscuits-400g,,default_depot,G1-G8,3,6,6
karachi-bakery-osmania-biscuits__karachi-osmania-biscuits-400g,multiple_suppliers,karachi-bakery-karachi-osmania-biscuits-400g,,default_depot,G1-G8,3,6,6
kohinoor-extra-long-basmati__kohinoor-kohinoor-extra-long-basmati-2kg,multiple_suppliers,kohinoor-kohinoor-kohinoor-extra-long-basmati-2kg,,default_depot,G1-G8,3,6,6
kohinoor-extra-long-basmati__kohinoor-kohinoor-extra-long-basmati-5kg,multiple_suppliers,kohinoor-kohinoor-kohinoor-extra-long-basmati-5kg,,default_depot,G1-G8,3,6,6
lal-qilla-premium-basmati__lal-qilla-lal-qilla-premium-basmati-5kg,multiple_suppliers,lal-qilla-lal-qilla-lal-qilla-premium-basmati-5kg,,default_depot,G1-G8,3,6,6
lal-qilla-premium-basmati__lal-qilla-lal-qilla-premium-basmati-10kg,multiple_suppliers,lal-qilla-lal-qilla-lal-qilla-premium-basmati-10kg,,default_depot,G1-G8,3,6,6
laziza-gajar-halwa-mix__laziza-gajar-halwa-150g,laziza_foods,laziza-laziza-gajar-halwa-150g,,default_depot,G1-G8,3,6,6
laziza-gulab-jamun-mix__laziza-gulab-jamun-200g,laziza_foods,laziza-laziza-gulab-jamun-200g,,default_depot,G1-G8,3,6,6
laziza-kheer-mix__laziza-kheer-mix-150g,laziza_foods,laziza-laziza-kheer-mix-150g,,default_depot,G1-G8,3,6,6
laziza-kulfi-mix__laziza-kulfi-mix-150g,laziza_foods,laziza-laziza-kulfi-mix-150g,,default_depot,G1-G8,3,6,6
laziza-rasmalai-mix__laziza-rasmalai-mix-200g,laziza_foods,laziza-laziza-rasmalai-mix-200g,,default_depot,G1-G8,3,6,6
laziza-zarda-mix__laziza-zarda-mix-150g,laziza_foods,laziza-laziza-zarda-mix-150g,,default_depot,G1-G8,3,6,6
leo-coffee-pure__leo-coffee-200g,multiple_suppliers,leo-coffee-leo-coffee-200g,,default_depot,G1-G8,3,6,6
lg-asafoetida-hing__lg-hing-100g,multiple_suppliers,lg-lg-hing-100g,,default_depot,G1-G8,3,6,6
lijjat-moong-dal-papad__lijjat-lijjat-moong-dal-papad-200g,shri_mahila,lijjat-lijjat-lijjat-moong-dal-papad-200g,,default_depot,G1-G8,3,6,12
lijjat-urad-papad-extra-thin__lijjat-lijjat-urad-papad-extra-thin-200g,shri_mahila,lijjat-lijjat-lijjat-urad-papad-extra-thin-200g,,default_depot,G1-G8,3,6,12
lijjat-urad-special-papad__lijjat-lijjat-urad-special-papad-200g,shri_mahila,lijjat-lijjat-lijjat-urad-special-papad-200g,,default_depot,G1-G8,3,6,12
maggi-2-minute-noodles-masala-4-pack__maggi-maggi-2-minute-noodles-masala-4-pack,nestle_india,maggi-maggi-maggi-2-minute-noodles-masala-4-pack,,default_depot,G1-G8,3,6,6
maggi-2-minute-noodles-masala-8-pack__maggi-maggi-2-minute-noodles-masala-8-pack-8-pack,nestle_india,maggi-maggi-maggi-2-minute-noodles-masala-8-pack-8-pack,,default_depot,G1-G8,3,6,6
maggi-hot-sweet-sauce__maggi-maggi-hot-sweet-sauce-400g,nestle_india,maggi-maggi-maggi-hot-sweet-sauce-400g,,default_depot,G1-G8,3,6,6
maggi-noodles-masala-4pack__maggi-masala-4pack,nestle_india,maggi-maggi-masala-4pack,,default_depot,G1-G8,3,6,6
maggi-noodles-masala-8pack__maggi-masala-8pack,nestle_india,maggi-maggi-masala-8pack,,default_depot,G1-G8,3,6,6
mdh-sambar-masala__mdh-sambar-masala-100g,mdh_spices,mdh-mdh-sambar-masala-100g,,default_depot,G1-G8,3,6,6
mtr-dosa-mix__mtr-dosa-mix-500g,mtr_foods,mtr-mtr-dosa-mix-500g,,default_depot,G1-G8,3,6,6
mtr-gulab-jamun-tin__mtr-gulab-jamun-tin-500g,mtr_foods,mtr-mtr-gulab-jamun-tin-500g,,default_depot,G1-G8,3,6,6
mtr-idli-mix__mtr-idli-mix-500g,mtr_foods,mtr-mtr-idli-mix-500g,,default_depot,G1-G8,3,6,6
mtr-khaman-dhokla-mix__mtr-dhokla-mix-500g,mtr_foods,mtr-mtr-dhokla-mix-500g,,default_depot,G1-G8,3,6,6
mtr-rasmalai-tin__mtr-rasmalai-tin-500g,mtr_foods,mtr-mtr-rasmalai-tin-500g,,default_depot,G1-G8,3,6,6
mtr-rava-dosa-mix__mtr-rava-dosa-mix-500g,mtr_foods,mtr-mtr-rava-dosa-mix-500g,,default_depot,G1-G8,3,6,6
mtr-rava-idli-mix__mtr-rava-idli-mix-500g,mtr_foods,mtr-mtr-rava-idli-mix-500g,,default_depot,G1-G8,3,6,6
mtr-roasted-vermicelli__mtr-vermicelli-400g,mtr_foods,mtr-mtr-vermicelli-400g,,default_depot,G1-G8,3,6,6
mtr-upma-mix__mtr-upma-mix-500g,mtr_foods,mtr-mtr-upma-mix-500g,,default_depot,G1-G8,3,6,6
mtr-vada-mix__mtr-vada-mix-200g,mtr_foods,mtr-mtr-vada-mix-200g,,default_depot,G1-G8,3,6,6
14681551307137__natco-spiced-tea-masala-blend-160s,natco_foods,natco-natco-spiced-tea-masala-blend-160s,,depot_b,B1-B3,3,6,6
15097116393857__natco-lemon-juicetr,natco_foods,natco-natco-lemon-juicetr,,depot_b,B1-B3,3,6,6
15097122881921__natco-lemon-juice-500ml,natco_foods,natco-natco-lemon-juice-500ml,,depot_b,B1-B3,3,6,6
15097233015169__natco-lemon-juice-with-essential-oil-200ml,natco_foods,natco-natco-lemon-juice-with-essential-oil-200ml,,depot_b,B1-B3,3,6,6
15383643226497__natco-pure-mustard-oiltr,natco_foods,natco-natco-pure-mustard-oiltr,,depot_b,B1-B3,3,6,6
15383683334529__natco-pure-mustard-oil-250ml,natco_foods,natco-natco-pure-mustard-oil-250ml,,depot_b,B1-B3,3,6,6
4567655219272__natco-rose-water-310ml,natco_foods,natco-natco-rose-water-310ml,,depot_b,B1-B3,3,6,6
4567655284808__natco-kevda-water-310ml,natco_foods,natco-natco-kevda-water-310ml,,depot_b,B1-B3,3,6,6
4567655350344__natco-coconut-flavouring-essence-28ml,natco_foods,natco-natco-coconut-flavouring-essence-28ml,,depot_b,B1-B3,3,6,6
4567655383112__natco-pineapple-flavouring-essence-28ml,natco_foods,natco-natco-pineapple-flavouring-essence-28ml,,depot_b,B1-B3,3,6,6
4567655448648__natco-strawberry-flavouring-essence-28ml,natco_foods,natco-natco-strawberry-flavouring-essence-28ml,,depot_b,B1-B3,3,6,6
4567655514184__natco-rose-flavouring-essence-28ml,natco_foods,natco-natco-rose-flavouring-essence-28ml,,depot_b,B1-B3,3,6,6
4567655612488__natco-almond-flavouring-essence-28ml,natco_foods,natco-natco-almond-flavouring-essence-28ml,,depot_b,B1-B3,3,6,6
4567655678024__natco-vanilla-flavouring-essence-28ml,natco_foods,natco-natco-vanilla-flavouring-essence-28ml,,depot_b,B1-B3,3,6,6
4567655743560__natco-green-food-colouring-liquid-28ml,natco_foods,natco-natco-green-food-colouring-liquid-28ml,,depot_b,B1-B3,3,6,6
4567655841864__natco-red-food-colouring-liquid-28ml,natco_foods,natco-natco-red-food-colouring-liquid-28ml,,depot_b,B1-B3,3,6,6
4567655874632__natco-orange-food-colouring-liquid-28ml,natco_foods,natco-natco-orange-food-colouring-liquid-28ml,,depot_b,B1-B3,3,6,6
4567655972936__natco-green-food-colouring-powder-25g,natco_foods,natco-natco-green-food-colouring-powder-25g,,depot_b,B1-B3,3,6,6
4567656005704__natco-red-food-colouring-powder-25g,natco_foods,natco-natco-red-food-colouring-powder-25g,,depot_b,B1-B3,3,6,6
4567656071240__natco-orange-food-colouring-powder-25g,natco_foods,natco-natco-orange-food-colouring-powder-25g,,depot_b,B1-B3,3,6,6
4567656104008__natco-yellow-food-colouring-powder-25g,natco_foods,natco-natco-yellow-food-colouring-powder-25g,,depot_b,B1-B3,3,6,6
4567656169544__natco-tandoori-masala-jar-100g,natco_foods,natco-natco-tandoori-masala-jar-100g,,depot_b,B1-B3,3,6,6
4567656759368__natco-garam-masala-jar-80g,natco_foods,natco-natco-garam-masala-jar-80g,,depot_b,B1-B3,3,6,6
4567656988744__natco-coriander-ground-jar-70g,natco_foods,natco-natco-coriander-ground-jar-70g,,depot_b,B1-B3,3,6,6
4567657054280__natco-cloves-jar-50g,natco_foods,natco-natco-cloves-jar-50g,,depot_b,B1-B3,3,6,6
4567657087048__natco-cinnamon-ground-jar-100g,natco_foods,natco-natco-cinnamon-ground-jar-100g,,depot_b,B1-B3,3,6,6
4567657119816__natco-cassia-dalchini-jar-50g,natco_foods,natco-natco-cassia-dalchini-jar-50g,,depot_b,B1-B3,3,6,6
4567657185352__natco-chilli-powder-hot-jar-100g,natco_foods,natco-natco-chilli-powder-hot-jar-100g,,depot_b,B1-B3,3,6,6
4567657250888__natco-chilli-crushed-jar-80g,natco_foods,natco-natco-chilli-crushed-jar-80g,,depot_b,B1-B3,3,6,6
4567657316424__natco-cardamom-green-jar-50g,natco_foods,natco-natco-cardamom-green-jar-50g,,depot_b,B1-B3,3,6,6
4567657381960__natco-bay-leaves-jar-10g,natco_foods,natco-natco-bay-leaves-jar-10g,,depot_b,B1-B3,3,6,6
4567657447496__natco-asafoetida-hing-jar-100g,natco_foods,natco-natco-asafoetida-hing-jar-100g,,depot_b,B1-B3,3,6,6
4567657513032__natco-aniseed-star-jar-40g,natco_foods,natco-natco-aniseed-star-jar-40g,,depot_b,B1-B3,3,6,6
4567657545800__natco-amchoor-powder-jar-100g,natco_foods,natco-natco-amchoor-powder-jar-100g,,depot_b,B1-B3,3,6,6
4567657578568__natco-ajwan-seeds-jar-100g,natco_foods,natco-natco-ajwan-seeds-jar-100g,,depot_b,B1-B3,3,6,6
4567657644104__natco-tandoori-masala-400g,natco_foods,natco-natco-tandoori-masala-400g,,depot_b,B1-B3,3,6,6
4567658135624__natco-mixed-masala-whole-300g,natco_foods,natco-natco-mixed-masala-whole-300g,,depot_b,B1-B3,3,6,6
4567658168392__natco-kasuri-methi-leaves-100g,natco_foods,natco-natco-kasuri-methi-leaves-100g,,depot_b,B1-B3,3,6,6
4567658627144__natco-garam-masala-400g,natco_foods,natco-natco-garam-masala-400g,,depot_b,B1-B3,3,6,6
4567659905096__natco-vermice-taposdini-fedelini-500g,natco_foods,natco-natco-vermice-taposdini-fedelini-500g,,depot_b,B1-B3,3,6,6
4567660134472__natco-black-chia-seeds-250g,natco_foods,natco-natco-black-chia-seeds-250g,,depot_b,B1-B3,3,6,6
4567660167240__natco-peanut-gachak-peanut-brittle-400g,natco_foods,natco-natco-peanut-gachak-peanut-brittle-400g,,depot_b,B1-B3,3,6,6
4567660298312__natco-sugar-candy-375g,natco_foods,natco-natco-sugar-candy-375g,,depot_b,B1-B3,3,6,6
4567660396616__natco-soya-mince-300g,natco_foods,natco-natco-soya-mince-300g,,depot_b,B1-B3,3,6,6
4567660527688__natco-soya-chunks-700g,natco_foods,natco-natco-soya-chunks-700g,,depot_b,B1-B3,3,6,6
4567660527688__natco-soya-chunks-350g,natco_foods,natco-natco-soya-chunks-350g,,depot_b,B1-B3,3,6,6
4567660560456__natco-sesame-seeds-hulled-15kg,natco_foods,natco-natco-sesame-seeds-hulled-15kg,,depot_b,B1-B3,3,6,6
4567660593224__natco-sesame-seeds-natural-400g,natco_foods,natco-natco-sesame-seeds-natural-400g,,depot_b,B1-B3,3,6,6
4567660658760__natco-sagoo-seeds-medium-15kg,natco_foods,natco-natco-sagoo-seeds-medium-15kg,,depot_b,B1-B3,3,6,6
4567660724296__natco-sunflower-seeds-1kg,natco_foods,natco-natco-sunflower-seeds-1kg,,depot_b,B1-B3,3,6,6
4567660724296__natco-sunflower-seeds-300g,natco_foods,natco-natco-sunflower-seeds-300g,,depot_b,B1-B3,3,6,6
4567660757064__natco-powa-medium-flaked-rice-1kg,natco_foods,natco-natco-powa-medium-flaked-rice-1kg,,depot_b,B1-B3,3,6,6
4567660855368__natco-white-poppy-seeds-300g,natco_foods,natco-natco-white-poppy-seeds-300g,,depot_b,B1-B3,3,6,6
4567660855368__natco-white-poppy-seeds-100g,natco_foods,natco-natco-white-poppy-seeds-100g,,depot_b,B1-B3,3,6,6
4567660920904__natco-linseed-brown-1kg,natco_foods,natco-natco-linseed-brown-1kg,,depot_b,B1-B3,3,6,6
4567660920904__natco-linseed-brown-400g,natco_foods,natco-natco-linseed-brown-400g,,depot_b,B1-B3,3,6,6
4567660953672__natco-pumpkin-seeds-250g,natco_foods,natco-natco-pumpkin-seeds-250g,,depot_b,B1-B3,3,6,6
4567661051976__natco-popcorn-2kg,natco_foods,natco-natco-popcorn-2kg,,depot_b,B1-B3,3,6,6
4567661051976__natco-popcorn-500g,natco_foods,natco-natco-popcorn-500g,,depot_b,B1-B3,3,6,6
4567661084744__natco-crispy-fried-onions-150g,natco_foods,natco-natco-crispy-fried-onions-150g,,depot_b,B1-B3,3,6,6
4567661084744__natco-crispy-fried-onions-400g,natco_foods,natco-natco-crispy-fried-onions-400g,,depot_b,B1-B3,3,6,6
4567661183048__natco-jaggery-500g,natco_foods,natco-natco-jaggery-500g,,depot_b,B1-B3,3,6,6
4567661248584__natco-daria-dal-300g,natco_foods,natco-natco-daria-dal-300g,,depot_b,B1-B3,3,6,6
4567661281352__natco-phool-makhana-popped-lotus-seeds-100g,natco_foods,natco-natco-phool-makhana-popped-lotus-seeds-100g,,depot_b,B1-B3,3,6,6
4567661314120__natco-daria-gotta-large-700g,natco_foods,natco-natco-daria-gotta-large-700g,,depot_b,B1-B3,3,6,6
4567661379656__natco-daria-gotta-small-300g,natco_foods,natco-natco-daria-gotta-small-300g,,depot_b,B1-B3,3,6,6
4567661412424__natco-gram-roasted-salted-300g,natco_foods,natco-natco-gram-roasted-salted-300g,,depot_b,B1-B3,3,6,6
4567661445192__natco-gram-roasted-unsalted-300g,natco_foods,natco-natco-gram-roasted-unsalted-300g,,depot_b,B1-B3,3,6,6
4567661477960__natco-idli-rice-5kg,natco_foods,natco-natco-idli-rice-5kg,,depot_b,B1-B3,3,6,6
4567661543496__natco-ponni-rice-5kg,natco_foods,natco-natco-ponni-rice-5kg,,depot_b,B1-B3,3,6,6
4567661674568__natco-sona-masuri-rice-5kg,natco_foods,natco-natco-sona-masuri-rice-5kg,,depot_b,B1-B3,3,6,6
4567661772872__natco-easycook-parboiled-rice-5kg,natco_foods,natco-natco-easycook-parboiled-rice-5kg,,depot_b,B1-B3,3,6,6
4567661838408__natco-long-grain-white-rice-5kg,natco_foods,natco-natco-long-grain-white-rice-5kg,,depot_b,B1-B3,3,6,6
4567661871176__natco-basmati-rice-kernel-5kg,natco_foods,natco-natco-basmati-rice-kernel-5kg,,depot_b,B1-B3,3,6,6
4567662002248__natco-basmati-rice-india-2kg,natco_foods,natco-natco-basmati-rice-india-2kg,,depot_b,B1-B3,3,6,6
4567662067784__natco-basmati-rice-india-bag-5kg,natco_foods,natco-natco-basmati-rice-india-bag-5kg,,depot_b,B1-B3,3,6,6
4567662166088__natco-pappadoms-madras-papa-brand-250g,natco_foods,natco-natco-pappadoms-madras-papa-brand-250g,,depot_b,B1-B3,3,6,6
4567662362696__natco-pappadoms-madras-coin-size-200g,natco_foods,natco-natco-pappadoms-madras-coin-size-200g,,depot_b,B1-B3,3,6,6
4567662461000__natco-pappadoms-punjabi-microwavable-200g,natco_foods,natco-natco-pappadoms-punjabi-microwavable-200g,,depot_b,B1-B3,3,6,6
4567662493768__natco-pappadoms-plain-microwavable-200g,natco_foods,natco-natco-pappadoms-plain-microwavable-200g,,depot_b,B1-B3,3,6,6
4567662526536__natco-pappadoms-jeera-microwavable-200g,natco_foods,natco-natco-pappadoms-jeera-microwavable-200g,,depot_b,B1-B3,3,6,6
4567662559304__natco-pappadoms-black-pepper-200g,natco_foods,natco-natco-pappadoms-black-pepper-200g,,depot_b,B1-B3,3,6,6
4567662919752__natco-luxury-fruit-nuts-mix-750g,natco_foods,natco-natco-luxury-fruit-nuts-mix-750g,,depot_b,B1-B3,3,6,6
4567662952520__natco-luxury-fruit-nut-mix-250g,natco_foods,natco-natco-luxury-fruit-nut-mix-250g,,depot_b,B1-B3,3,6,6
4567663214664__natco-pistachio-kernels-1kg,natco_foods,natco-natco-pistachio-kernels-1kg,,depot_b,B1-B3,3,6,6
4567663214664__natco-pistachio-kernels-250g,natco_foods,natco-natco-pistachio-kernels-250g,,depot_b,B1-B3,3,6,6
4567663214664__natco-pistachio-kernels-100g,natco_foods,natco-natco-pistachio-kernels-100g,,depot_b,B1-B3,3,6,6
4567663378504__natco-roasted-salted-pistachio-nuts-1kg,natco_foods,natco-natco-roasted-salted-pistachio-nuts-1kg,,depot_b,B1-B3,3,6,6
4567663378504__natco-roasted-salted-pistachio-nuts-300g,natco_foods,natco-natco-roasted-salted-pistachio-nuts-300g,,depot_b,B1-B3,3,6,6
4567663378504__natco-roasted-salted-pistachio-nuts-100g,natco_foods,natco-natco-roasted-salted-pistachio-nuts-100g,,depot_b,B1-B3,3,6,6
4567663411272__natco-roasted-monkey-nuts-300g,natco_foods,natco-natco-roasted-monkey-nuts-300g,,depot_b,B1-B3,3,6,6
